Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
36.363636,14.864679,67.0,13.0,36.36363636363637,24.05988,15.04552,101.0,8.0,24.059880239520957,-0.003127901814877987,4018,8.454590559005737,24.05988,0
46.444443,15.456829,80.0,31.0,46.44444444444444,32.552845,20.710238,130.0,11.0,32.552845528455286,-0.012629229575395584,8022,17.889196634292603,,1
54.75,18.081413,79.0,24.0,54.75,42.494736,24.059519,130.0,11.0,42.49473684210526,-0.012321402318775654,12059,24.888563632965088,,2
61.0,5.424811,70.0,54.0,61.0,57.126762,28.063272,165.0,15.0,57.12676056338028,-0.009270592592656612,16115,31.008941411972046,,3
57.285713,7.759129,71.0,47.0,57.285714285714285,62.4,29.238436,142.0,22.0,62.4,-0.00012223019439261407,20171,36.62607431411743,,4
115.0,32.954514,149.0,61.0,115.0,77.15385,31.624228,174.0,24.0,77.15384615384616,-0.00032797458698041737,24183,43.30657935142517,,5
94.6,19.663162,119.0,61.0,94.6,75.81132,30.798222,154.0,26.0,75.81132075471699,-0.0019035282311961055,28201,49.23183298110962,,6
102.25,29.617352,128.0,54.0,102.25,76.62264,33.63243,200.0,23.0,76.62264150943396,0.004577652085572481,32262,54.94185423851013,,7
92.0,32.323368,155.0,63.0,92.0,89.32609,37.054634,200.0,33.0,89.32608695652173,0.002076418837532401,36371,60.95507788658142,,8
119.4,50.221905,200.0,64.0,119.4,99.21951,38.598312,200.0,41.0,99.21951219512195,0.0030516223050653934,40439,66.95524644851685,,9
105.0,43.248123,146.0,50.0,105.0,122.21212,39.84725,200.0,51.0,122.21212121212122,-0.008355907164514065,44472,72.11932396888733,,10
174.33333,21.66923,200.0,147.0,174.33333333333334,126.375,41.618618,200.0,56.0,126.375,0.0005691369879059494,48516,77.5325345993042,,11
134.0,52.33227,200.0,72.0,134.0,154.96153,33.008717,200.0,93.0,154.96153846153845,0.0006400767015293241,52545,83.34473395347595,,12
173.0,38.183765,200.0,119.0,173.0,177.26086,23.554224,200.0,130.0,177.2608695652174,-0.011325872503221035,56622,90.67616558074951,,13
171.66667,20.237478,200.0,154.0,171.66666666666666,176.26086,29.192343,200.0,120.0,176.2608695652174,-0.010442828759551048,60676,97.6791479587555,,14
158.66667,32.71425,200.0,120.0,158.66666666666666,179.08696,26.0149,200.0,110.0,179.08695652173913,-0.001366571057587862,64795,103.8444836139679,,15
170.66667,30.868898,200.0,128.0,170.66666666666666,185.13637,21.959251,200.0,126.0,185.13636363636363,-0.005628816783428192,68868,109.24307155609131,,16
187.33333,17.913372,200.0,162.0,187.33333333333334,193.61905,19.677097,200.0,131.0,193.61904761904762,0.0008369600982405245,72934,114.23858284950256,,17
200.0,0.0,200.0,200.0,200.0,182.56522,29.90976,200.0,119.0,182.56521739130434,-0.006192930042743683,77133,119.69095134735107,,18
200.0,0.0,200.0,200.0,200.0,193.14285,21.278843,200.0,120.0,193.14285714285714,-0.008923932909965515,81189,126.56658244132996,,19
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,85189,132.62008428573608,,20
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,89189,137.371244430542,,21
200.0,0.0,200.0,200.0,200.0,199.85715,0.63887656,200.0,197.0,199.85714285714286,0.0030866118613630533,93386,142.79439902305603,,22
200.0,0.0,200.0,200.0,200.0,198.5238,4.8562093,200.0,179.0,198.52380952380952,-0.0021308648865669966,97555,149.93416094779968,,23
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,101555,155.93655014038086,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,105555,163.00219678878784,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,109555,169.94645071029663,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,113555,174.7491250038147,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,117555,180.76905965805054,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,121555,187.0035228729248,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,125555,193.39443922042847,,30
199.66667,0.4714045,200.0,199.0,199.66666666666666,198.7619,5.5369306,200.0,174.0,198.76190476190476,-0.023662501946091652,129729,199.7382025718689,,31
195.66667,6.1282587,200.0,187.0,195.66666666666666,199.19048,1.9668453,200.0,193.0,199.1904761904762,-0.0025626029819250107,133912,206.96430730819702,,32
