Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
35.153847,19.751713,75.0,15.0,35.15384615384615,23.406977,15.992279,138.0,8.0,23.406976744186046,-0.004661791492253542,4026,10.189817428588867,23.406977,0
53.77778,27.995148,100.0,23.0,53.77777777777778,34.05042,22.678553,157.0,11.0,34.05042016806723,-0.01101765688508749,8078,21.122768878936768,,1
59.0,32.583958,122.0,30.0,59.0,47.690475,30.38169,196.0,13.0,47.69047619047619,-0.011671199463307858,12084,27.664730548858643,,2
65.0,39.031124,152.0,34.0,65.0,54.51351,30.416586,187.0,14.0,54.513513513513516,-0.005815295502543449,16118,33.157153606414795,,3
69.333336,19.014614,86.0,33.0,69.33333333333333,60.22388,25.314629,141.0,23.0,60.223880597014926,-0.006193140055984259,20153,39.58205556869507,,4
107.75,28.830322,148.0,74.0,107.75,76.113205,33.042946,157.0,24.0,76.11320754716981,-0.003254625480622053,24187,44.88750171661377,,5
90.6,34.494057,136.0,49.0,90.6,75.962265,31.607834,178.0,24.0,75.9622641509434,-0.004333551041781902,28213,50.70258092880249,,6
101.25,63.58213,200.0,41.0,101.25,81.71429,32.807415,200.0,23.0,81.71428571428571,-0.0006328548188321292,32217,56.829861879348755,,7
136.5,30.679798,163.0,85.0,136.5,117.8,42.33796,200.0,27.0,117.8,-0.011318651959300041,36340,63.17775058746338,,8
102.75,29.575117,147.0,68.0,102.75,148.59259,36.945663,200.0,69.0,148.59259259259258,-0.01096330862492323,40352,69.06337285041809,,9
146.0,40.41658,200.0,89.0,146.0,147.5,41.436268,200.0,62.0,147.5,-0.008835017681121826,44482,74.59683513641357,,10
183.0,24.04163,200.0,149.0,183.0,156.76923,38.911446,200.0,58.0,156.76923076923077,-0.013029776513576508,48558,81.66612792015076,,11
200.0,0.0,200.0,200.0,200.0,177.91304,29.423317,200.0,103.0,177.91304347826087,-0.011864148080348969,52650,87.72881293296814,,12
178.33333,30.641293,200.0,135.0,178.33333333333334,181.86363,28.417816,200.0,116.0,181.86363636363637,-0.010464336723089218,56651,93.19351577758789,,13
200.0,0.0,200.0,200.0,200.0,186.63637,22.704716,200.0,124.0,186.63636363636363,-0.011951681226491928,60757,98.83336472511292,,14
200.0,0.0,200.0,200.0,200.0,193.14285,17.37619,200.0,136.0,193.14285714285714,-0.004863887559622526,64813,104.86688208580017,,15
200.0,0.0,200.0,200.0,200.0,193.80952,19.96096,200.0,116.0,193.8095238095238,-0.008895513601601124,68883,110.35583329200745,,16
200.0,0.0,200.0,200.0,200.0,198.90475,4.898053,200.0,177.0,198.9047619047619,-0.003584253368899226,73060,117.04872918128967,,17
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0010279607959091663,77060,122.32321524620056,,18
200.0,0.0,200.0,200.0,200.0,197.2381,12.351614,200.0,142.0,197.23809523809524,0.003329634200781584,81202,128.47906517982483,,19
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.007177309133112431,85202,135.00556802749634,,20
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.010852072387933731,89202,140.9696831703186,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.003417680971324444,93202,146.84689831733704,,22
200.0,0.0,200.0,200.0,200.0,197.28572,12.138656,200.0,143.0,197.28571428571428,-0.009059315547347069,97345,152.1198103427887,,23
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0009354150970466435,101345,158.52036786079407,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.003731208387762308,105345,165.31762671470642,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.019311362877488136,109345,170.3364667892456,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.01648220606148243,113345,175.22948145866394,,27
200.0,0.0,200.0,200.0,200.0,197.42857,11.499779,200.0,146.0,197.42857142857142,-0.02017350122332573,117491,181.99270915985107,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.006677929311990738,121491,187.54718208312988,,29
200.0,0.0,200.0,200.0,200.0,194.33333,16.254915,200.0,127.0,194.33333333333334,-0.022010810673236847,125572,193.30695629119873,,30
158.0,30.594116,200.0,128.0,158.0,195.61905,12.966904,200.0,147.0,195.61904761904762,-0.015813183039426804,129680,199.37464213371277,,31
179.0,29.698484,200.0,137.0,179.0,195.85715,14.999319,200.0,131.0,195.85714285714286,-0.020617228001356125,133793,205.36293005943298,,32
200.0,0.0,200.0,200.0,200.0,197.7619,10.009066,200.0,153.0,197.76190476190476,-0.011887671425938606,137946,212.73394966125488,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.004965193569660187,141946,218.85193181037903,,34
192.33333,10.842304,200.0,177.0,192.33333333333334,200.0,0.0,200.0,200.0,200.0,-0.011251743882894516,145946,225.3373544216156,,35
176.0,13.140269,189.0,158.0,176.0,199.38095,1.7855557,200.0,193.0,199.38095238095238,-0.02291795052587986,150133,231.58289122581482,,36
163.33333,27.632507,192.0,126.0,163.33333333333334,188.90909,9.104989,200.0,173.0,188.9090909090909,-0.023322265595197678,154289,236.93004393577576,,37
160.33333,14.817408,181.0,147.0,160.33333333333334,162.68,16.896675,189.0,123.0,162.68,-0.015478244982659817,158356,242.67872309684753,,38
155.33333,1.6996732,157.0,153.0,155.33333333333334,150.74074,28.2785,179.0,37.0,150.74074074074073,-0.017429539933800697,162426,248.74554204940796,,39
157.33333,7.408704,167.0,149.0,157.33333333333334,153.55556,26.425764,188.0,33.0,153.55555555555554,-0.025564413517713547,166572,255.1788113117218,,40
152.33333,2.4944382,155.0,149.0,152.33333333333334,135.03334,47.00177,167.0,26.0,135.03333333333333,-0.02662554755806923,170623,260.6661124229431,,41
130.75,57.81598,170.0,31.0,130.75,132.3871,53.57821,174.0,19.0,132.38709677419354,-0.0318906232714653,174727,266.3807370662689,,42
164.33333,7.0395703,172.0,155.0,164.33333333333334,148.44444,44.561512,183.0,22.0,148.44444444444446,-0.02380785346031189,178735,272.6414783000946,,43
177.33333,3.2998316,181.0,173.0,177.33333333333334,167.75,9.64905,198.0,152.0,167.75,-0.01749425195157528,182761,279.2361042499542,,44
181.0,3.5590262,184.0,176.0,181.0,174.16667,9.57282,189.0,157.0,174.16666666666666,-0.01558778528124094,186941,285.0248839855194,,45
197.0,4.2426405,200.0,191.0,197.0,177.21739,34.275047,200.0,25.0,177.2173913043478,-0.013048290275037289,191017,290.2441215515137,,46
200.0,0.0,200.0,200.0,200.0,197.2381,5.3265266,200.0,180.0,197.23809523809524,-0.026094216853380203,195159,296.94447445869446,,47
200.0,0.0,200.0,200.0,200.0,196.80952,4.914692,200.0,183.0,196.8095238095238,-0.01889440231025219,199292,302.6976742744446,,48
199.66667,0.4714045,200.0,199.0,199.66666666666666,195.61905,5.322694,200.0,186.0,195.61904761904762,-0.014673750847578049,203400,308.06472873687744,,49
195.66667,6.1282587,200.0,187.0,195.66666666666666,194.2381,7.4059477,200.0,176.0,194.23809523809524,-0.0183553509414196,207479,314.59247851371765,,50
200.0,0.0,200.0,200.0,200.0,195.2381,6.553115,200.0,178.0,195.23809523809524,-0.014676631428301334,211579,320.13009309768677,,51
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.013883071020245552,215579,326.3377604484558,,52
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.011940393596887589,219579,331.6841940879822,,53
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.005939378868788481,223579,337.16983914375305,,54
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.014001427218317986,227579,343.2379744052887,,55
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.00016215431969612837,231579,349.558913230896,,56
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.006623395718634129,235579,355.38272356987,,57
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0024021626450121403,239579,360.6237449645996,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.000335138087393716,243579,365.6735336780548,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.009479565545916557,247579,371.16289710998535,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.005616612732410431,251579,377.22404408454895,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.002178765833377838,255579,382.7801830768585,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.002066893968731165,259579,389.57298731803894,,63
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.007611787877976894,263579,395.44485116004944,,64
