Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
27.466667,11.30113,60.0,12.0,27.466666666666665,23.71006,11.889729,66.0,9.0,23.71005917159763,10.556318283081055,4007,9.405216455459595,23.71006,0
52.555557,34.302937,116.0,19.0,52.55555555555556,34.188034,18.482115,103.0,10.0,34.18803418803419,14.935137748718262,8007,18.277916431427002,,1
46.3,14.043148,68.0,21.0,46.3,42.242104,21.514114,124.0,14.0,42.242105263157896,17.304550170898438,12020,25.601455688476562,,2
52.375,21.28343,88.0,21.0,52.375,54.148647,22.613487,150.0,14.0,54.148648648648646,20.042240142822266,16027,33.39321327209473,,3
61.142857,21.457123,101.0,38.0,61.142857142857146,66.16393,34.869865,200.0,23.0,66.1639344262295,25.47960662841797,20063,39.9700391292572,,4
111.2,59.361267,196.0,46.0,111.2,76.07547,30.688236,162.0,30.0,76.0754716981132,26.18349838256836,24095,46.14256453514099,,5
102.0,30.602287,132.0,61.0,102.0,87.152176,35.02978,186.0,35.0,87.15217391304348,28.64082908630371,28104,52.704047203063965,,6
150.33333,63.29999,200.0,61.0,150.33333333333334,103.74359,42.006542,200.0,37.0,103.74358974358974,33.48734664916992,32150,60.38291883468628,,7
137.66667,50.76963,184.0,67.0,137.66666666666666,133.09677,47.816418,200.0,31.0,133.09677419354838,40.275150299072266,36276,67.34453248977661,,8
162.66667,28.767263,200.0,130.0,162.66666666666666,141.7931,40.04685,200.0,41.0,141.79310344827587,40.46095657348633,40388,72.84987807273865,,9
160.0,20.542639,189.0,144.0,160.0,157.3077,30.25503,200.0,110.0,157.30769230769232,41.69672393798828,44478,79.0058662891388,,10
107.5,31.388693,137.0,58.0,107.5,143.51724,32.271076,200.0,73.0,143.51724137931035,38.77427291870117,48640,86.01779818534851,,11
120.75,16.902292,138.0,98.0,120.75,145.28572,30.125757,200.0,67.0,145.28571428571428,37.272010803222656,52708,92.59267020225525,,12
184.33333,22.156012,200.0,153.0,184.33333333333334,146.39285,29.333477,200.0,104.0,146.39285714285714,37.585166931152344,56807,99.89020538330078,,13
144.0,39.899876,200.0,110.0,144.0,160.6,32.46783,200.0,104.0,160.6,40.9820442199707,60822,107.13079476356506,,14
173.0,27.067816,200.0,136.0,173.0,191.7619,16.987123,200.0,141.0,191.76190476190476,47.26103973388672,64849,113.74206829071045,,15
166.0,24.097027,200.0,147.0,166.0,190.5238,19.529268,200.0,127.0,190.52380952380952,46.19853973388672,68850,119.6720461845398,,16
200.0,0.0,200.0,200.0,200.0,197.5238,7.0415034,200.0,175.0,197.52380952380952,47.22847366333008,72998,126.87623572349548,,17
200.0,0.0,200.0,200.0,200.0,199.0,4.472136,200.0,179.0,199.0,47.265380859375,77177,132.6268002986908,,18
200.0,0.0,200.0,200.0,200.0,193.80952,21.925457,200.0,100.0,193.8095238095238,46.90509796142578,81247,139.21449089050293,,19
200.0,0.0,200.0,200.0,200.0,198.85715,5.111012,200.0,176.0,198.85714285714286,48.1474609375,85423,145.5288598537445,,20
200.0,0.0,200.0,200.0,200.0,197.42857,11.499779,200.0,146.0,197.42857142857142,48.06592559814453,89569,152.14806127548218,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,48.462852478027344,93569,158.3919563293457,,22
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,49.14678192138672,97569,164.86489629745483,,23
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,51.46827697753906,101569,171.02071166038513,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.819725036621094,105569,176.84711289405823,,25
200.0,0.0,200.0,200.0,200.0,197.85715,6.9026265,200.0,171.0,197.85714285714286,52.154476165771484,109724,182.89661717414856,,26
