Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
36.636364,22.5883,76.0,9.0,36.63636363636363,24.79141,13.375856,92.0,8.0,24.791411042944784,22.084260940551758,4041,8.143356561660767,24.79141,0
42.3,22.410044,105.0,19.0,42.3,35.80357,20.868567,139.0,9.0,35.80357142857143,31.844409942626953,8051,16.28859281539917,,1
61.0,57.7012,200.0,22.0,61.0,45.795456,23.670637,139.0,13.0,45.79545454545455,37.2474479675293,12081,21.835347890853882,,2
71.71429,42.270267,169.0,31.0,71.71428571428571,52.025974,29.994362,200.0,16.0,52.02597402597402,43.089046478271484,16087,27.446075677871704,,3
62.42857,27.556992,116.0,30.0,62.42857142857143,52.376625,23.507412,117.0,19.0,52.37662337662338,38.169960021972656,20120,33.07794117927551,,4
59.857143,24.821814,99.0,29.0,59.857142857142854,60.268658,27.174715,160.0,22.0,60.26865671641791,42.374019622802734,24158,38.40179920196533,,5
69.5,24.53399,113.0,42.0,69.5,69.034485,30.800226,176.0,29.0,69.03448275862068,46.8872184753418,28162,43.89720129966736,,6
70.14286,16.745392,100.0,45.0,70.14285714285714,78.76471,31.522533,152.0,25.0,78.76470588235294,49.81519317626953,32179,49.25301384925842,,7
80.333336,23.80243,117.0,50.0,80.33333333333333,84.22449,36.264484,200.0,36.0,84.22448979591837,53.25263595581055,36306,55.13447332382202,,8
61.714287,19.35912,98.0,33.0,61.714285714285715,87.680855,33.443573,200.0,38.0,87.68085106382979,52.35460662841797,40427,60.94822669029236,,9
65.0,21.467583,101.0,41.0,65.0,87.391304,34.499203,194.0,43.0,87.3913043478261,50.48801803588867,44447,67.62163376808167,,10
131.0,43.686382,200.0,79.0,131.0,101.125,39.629654,200.0,44.0,101.125,57.38551712036133,48492,73.05774545669556,,11
129.75,35.751747,174.0,85.0,129.75,118.588234,27.167366,167.0,56.0,118.58823529411765,61.0900764465332,52524,79.20349884033203,,12
135.66667,41.668,175.0,78.0,135.66666666666666,129.67741,40.207035,200.0,75.0,129.67741935483872,68.08860778808594,56544,84.46784281730652,,13
191.0,12.727922,200.0,173.0,191.0,152.25926,41.56173,200.0,63.0,152.25925925925927,76.15232849121094,60655,91.94717001914978,,14
138.33333,53.281223,200.0,70.0,138.33333333333334,160.76923,26.81605,200.0,113.0,160.76923076923077,76.74119567871094,64835,97.46183443069458,,15
134.25,50.874233,179.0,52.0,134.25,139.31035,37.59503,200.0,63.0,139.31034482758622,67.60638427734375,68875,102.45738816261292,,16
134.0,24.535688,168.0,111.0,134.0,143.71428,36.383724,200.0,51.0,143.71428571428572,69.21784973144531,72899,108.61651039123535,,17
123.25,7.1195154,134.0,114.0,123.25,141.31035,20.211134,200.0,111.0,141.31034482758622,63.60292434692383,76997,114.70099663734436,,18
143.33333,25.302612,179.0,123.0,143.33333333333334,140.2069,30.09683,200.0,83.0,140.20689655172413,63.73231887817383,81063,121.27227568626404,,19
145.33333,31.478388,188.0,113.0,145.33333333333334,139.13792,29.224134,200.0,99.0,139.13793103448276,63.24881362915039,85098,126.28890013694763,,20
122.5,17.036724,142.0,99.0,122.5,133.9,38.20589,200.0,80.0,133.9,62.568668365478516,89115,132.49750924110413,,21
112.5,21.971573,150.0,96.0,112.5,127.0,25.756067,200.0,90.0,127.0,55.31653594970703,93179,138.24935913085938,,22
119.25,20.656416,155.0,106.0,119.25,126.65625,30.387712,200.0,73.0,126.65625,56.42243957519531,97232,144.66101145744324,,23
