Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
25.0,11.365582,52.0,11.0,25.0,23.09091,11.669343,63.0,9.0,23.09090909090909,-0.006746404804289341,1016,4.365555286407471,23.09091,0
37.545456,17.824211,80.0,21.0,37.54545454545455,30.529411,20.003286,119.0,13.0,30.529411764705884,-0.0071115861646831036,2054,8.315056324005127,,1
80.2,65.33728,200.0,14.0,80.2,40.846153,24.265665,110.0,17.0,40.84615384615385,-0.008202812634408474,3116,9.835264682769775,,2
68.833336,31.745955,126.0,29.0,68.83333333333333,58.11111,24.738384,120.0,25.0,58.111111111111114,-0.0020154111552983522,4162,11.483733415603638,,3
58.25,27.054344,99.0,13.0,58.25,54.789474,24.643946,112.0,17.0,54.78947368421053,-0.005125665105879307,5203,13.21855878829956,,4
68.833336,12.746459,94.0,57.0,68.83333333333333,68.6,31.605482,147.0,18.0,68.6,-0.012873205356299877,6232,15.030992269515991,,5
100.6,38.333275,157.0,53.0,100.6,75.14286,42.19827,200.0,22.0,75.14285714285714,-0.00029062770772725344,7284,16.83704447746277,,6
114.5,55.774097,200.0,60.0,114.5,77.84615,30.55851,137.0,40.0,77.84615384615384,0.006019230466336012,8296,18.882013082504272,,7
116.0,49.618546,188.0,66.0,116.0,107.2,30.89919,151.0,56.0,107.2,-0.0028375207912176847,9368,21.06338930130005,,8
153.66667,34.31553,200.0,118.0,153.66666666666666,136.625,51.312614,200.0,56.0,136.625,-0.0035154547076672316,10461,23.323574542999268,,9
164.0,31.155523,200.0,124.0,164.0,162.14285,34.543674,200.0,106.0,162.14285714285714,-0.0040248180739581585,11596,25.64504361152649,,10
199.0,1.4142135,200.0,197.0,199.0,180.5,15.8823805,200.0,155.0,180.5,-0.01474028266966343,12679,27.79163670539856,,11
165.66667,28.170116,200.0,131.0,165.66666666666666,143.375,42.652485,200.0,50.0,143.375,0.009794356301426888,13826,29.576252937316895,,12
149.0,15.513435,170.0,133.0,149.0,196.16667,4.7051983,200.0,187.0,196.16666666666666,-0.015433549880981445,15003,31.444518089294434,,13
162.66667,30.379086,195.0,122.0,162.66666666666666,168.0,23.007244,200.0,135.0,168.0,0.0005612997920252383,16011,33.00419092178345,,14
151.66667,37.366055,200.0,109.0,151.66666666666666,166.28572,40.48532,200.0,106.0,166.28571428571428,-0.002716677263379097,17175,34.71683359146118,,15
156.0,47.525433,200.0,90.0,156.0,156.28572,43.656826,200.0,103.0,156.28571428571428,-0.005080718547105789,18269,36.51531910896301,,16
