Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
32.076923,14.306865,70.0,14.0,32.07692307692308,21.595745,10.079809,51.0,9.0,21.595744680851062,9.410381317138672,1015,4.91664719581604,21.595745,0
40.3,26.55579,101.0,19.0,40.3,30.029411,14.470019,71.0,11.0,30.029411764705884,12.637428283691406,2036,9.204620838165283,,1
49.22222,22.899673,90.0,19.0,49.22222222222222,39.846153,21.129076,107.0,13.0,39.84615384615385,16.645212173461914,3072,11.467161893844604,,2
57.285713,17.119032,77.0,27.0,57.285714285714285,51.5,23.593431,113.0,19.0,51.5,19.61982536315918,4102,13.429426908493042,,3
69.166664,21.481903,105.0,45.0,69.16666666666667,56.27778,22.238121,108.0,21.0,56.27777777777778,20.13395881652832,5115,14.98826003074646,,4
71.0,26.938202,113.0,34.0,71.0,61.764706,19.839146,102.0,32.0,61.76470588235294,19.876001358032227,6165,16.51562237739563,,5
75.166664,33.89895,117.0,32.0,75.16666666666667,66.8,24.557959,112.0,24.0,66.8,21.956058502197266,7167,18.756747484207153,,6
65.85714,13.726186,85.0,48.0,65.85714285714286,72.14286,17.484104,108.0,44.0,72.14285714285714,21.365354537963867,8177,20.732515335083008,,7
83.8,21.747644,113.0,58.0,83.8,85.583336,35.899067,158.0,39.0,85.58333333333333,26.994447708129883,9204,22.65204095840454,,8
92.0,21.061813,127.0,69.0,92.0,80.69231,23.898455,127.0,49.0,80.6923076923077,23.37779998779297,10253,24.48593759536743,,9
98.8,26.663832,144.0,65.0,98.8,93.181816,44.244812,200.0,33.0,93.18181818181819,29.165019989013672,11278,26.60638117790222,,10
95.0,31.426104,133.0,61.0,95.0,117.22222,40.960083,168.0,58.0,117.22222222222223,32.188743591308594,12333,29.197348833084106,,11
140.5,49.847267,200.0,68.0,140.5,127.75,38.74516,200.0,79.0,127.75,35.11545181274414,13355,31.21335792541504,,12
155.0,32.13513,200.0,127.0,155.0,150.14285,46.36017,200.0,57.0,150.14285714285714,40.42443084716797,14406,33.46735858917236,,13
144.0,49.826366,194.0,76.0,144.0,162.0,27.12932,200.0,125.0,162.0,40.00210189819336,15540,35.510915756225586,,14
139.0,8.640987,147.0,127.0,139.0,153.14285,30.62412,200.0,108.0,153.14285714285714,38.678367614746094,16612,37.769124269485474,,15
196.66667,4.714045,200.0,190.0,196.66666666666666,172.0,26.807959,200.0,120.0,172.0,42.970882415771484,17644,40.11425733566284,,16
200.0,0.0,200.0,200.0,200.0,187.66667,27.57817,200.0,126.0,187.66666666666666,45.10548400878906,18770,42.61536526679993,,17
175.33333,34.883938,200.0,126.0,175.33333333333334,179.5,27.00463,200.0,132.0,179.5,43.97694396972656,19847,44.62600350379944,,18
