Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
34.333332,27.72584,117.0,14.0,34.333333333333336,24.97619,14.681522,90.0,9.0,24.976190476190474,23.13986587524414,1049,4.785418510437012,24.97619,0
68.0,32.07135,105.0,22.0,68.0,32.28125,19.769348,103.0,11.0,32.28125,29.6732120513916,2082,9.031551361083984,,1
51.0,12.73774,68.0,24.0,51.0,45.04348,18.224396,104.0,17.0,45.04347826086956,33.90564727783203,3118,10.649065494537354,,2
58.285713,20.75513,97.0,32.0,58.285714285714285,60.0,27.07506,115.0,15.0,60.0,45.6664924621582,4138,12.421823263168335,,3
75.666664,35.677567,151.0,44.0,75.66666666666667,62.235294,30.572056,115.0,24.0,62.23529411764706,47.760929107666016,5196,14.531181573867798,,4
87.4,46.697323,160.0,38.0,87.4,49.285713,21.741213,106.0,23.0,49.285714285714285,35.83534622192383,6231,16.613330125808716,,5
44.1,12.856516,68.0,22.0,44.1,46.81818,21.701775,107.0,18.0,46.81818181818182,33.30120849609375,7261,18.706122636795044,,6
57.285713,17.482353,92.0,33.0,57.285714285714285,51.9,22.05425,109.0,21.0,51.9,35.57123947143555,8299,21.022735357284546,,7
60.714287,24.673376,100.0,29.0,60.714285714285715,71.78571,24.175486,115.0,34.0,71.78571428571429,46.14882278442383,9304,22.94667959213257,,8
69.5,19.551214,100.0,39.0,69.5,66.625,23.937092,111.0,29.0,66.625,42.87052536010742,10370,24.74958872795105,,9
50.875,17.884613,83.0,24.0,50.875,62.764706,26.275753,117.0,26.0,62.76470588235294,41.62234115600586,11437,26.73950695991516,,10
60.142857,17.739613,82.0,28.0,60.142857142857146,58.22222,27.43387,145.0,28.0,58.22222222222222,38.987998962402344,12485,28.911652326583862,,11
36.363636,9.632074,54.0,22.0,36.36363636363637,51.15,20.53357,108.0,22.0,51.15,32.73262023925781,13508,31.06149172782898,,12
56.0,32.01562,118.0,28.0,56.0,54.210526,23.257322,119.0,20.0,54.21052631578947,36.22468566894531,14538,33.25684452056885,,13
85.6,39.560585,145.0,38.0,85.6,48.142857,16.559519,95.0,26.0,48.142857142857146,29.613296508789062,15549,35.18782901763916,,14
67.71429,28.24745,109.0,25.0,67.71428571428571,56.22222,27.599428,126.0,27.0,56.22222222222222,38.951351165771484,16561,37.26838946342468,,15
67.0,24.799194,100.0,33.0,67.0,56.77778,21.300901,113.0,23.0,56.77777777777778,35.25840759277344,17583,39.03226065635681,,16
69.28571,25.666622,101.0,34.0,69.28571428571429,67.86667,28.002062,145.0,36.0,67.86666666666666,44.43777084350586,18601,40.9397349357605,,17
68.0,25.01333,112.0,45.0,68.0,73.57143,24.005102,136.0,43.0,73.57142857142857,45.249366760253906,19631,42.69425344467163,,18
57.375,23.921421,107.0,35.0,57.375,65.5,22.494444,111.0,37.0,65.5,41.04558563232422,20679,44.600526094436646,,19
45.77778,10.389929,65.0,35.0,45.77777777777778,67.46667,19.373064,106.0,35.0,67.46666666666667,39.37233352661133,21691,46.14224171638489,,20
45.3,21.438517,99.0,23.0,45.3,47.809525,19.915583,93.0,18.0,47.80952380952381,30.66623306274414,22695,47.97671389579773,,21
42.9,18.256231,82.0,23.0,42.9,44.304348,16.485657,82.0,21.0,44.30434782608695,27.02776527404785,23714,49.7661714553833,,22
49.444443,30.66707,132.0,27.0,49.44444444444444,38.037037,6.930777,54.0,25.0,38.03703703703704,21.555858612060547,24741,51.7616822719574,,23
31.153847,7.6745954,42.0,18.0,31.153846153846153,37.48148,10.643621,69.0,17.0,37.48148148148148,22.50153923034668,25753,53.51927137374878,,24
32.692307,9.514237,58.0,22.0,32.69230769230769,32.935482,8.549421,56.0,20.0,32.935483870967744,18.741544723510742,26774,55.2774384021759,,25
31.461538,7.4587626,44.0,18.0,31.46153846153846,32.612904,9.44484,54.0,17.0,32.61290322580645,19.812808990478516,27785,57.02912092208862,,26
30.357143,8.014337,48.0,19.0,30.357142857142858,31.8125,9.3187895,52.0,14.0,31.8125,18.19210433959961,28803,58.71264028549194,,27
31.428572,6.2302747,48.0,22.0,31.428571428571427,31.4375,7.8379583,50.0,15.0,31.4375,17.41078758239746,29809,61.11690902709961,,28
30.846153,8.689925,56.0,23.0,30.846153846153847,32.967743,8.5590315,51.0,18.0,32.96774193548387,18.072345733642578,30831,63.00452709197998,,29
