Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-766.7862,41.98941,-712.0129,-814.03687,1000.0,-675.88116,33.583298,-626.7704,-718.05396,1000.0,-113.39671325683594,200.65199279785156,5000,16.104024410247803,-675.88116,0
-848.9483,68.40697,-779.9649,-942.1788,1000.0,-729.1175,52.61938,-650.0655,-800.99176,1000.0,-120.63475036621094,231.03721618652344,10000,36.04591393470764,,1
-886.9534,17.416368,-863.4974,-905.1896,1000.0,-832.5163,48.80591,-768.32336,-890.94495,1000.0,-138.47789001464844,295.2447814941406,15000,45.57622575759888,,2
-875.7803,28.0081,-846.618,-913.5746,1000.0,-881.0028,82.97094,-808.7106,-986.6675,1000.0,-146.07107543945312,345.6927185058594,20000,57.05699920654297,,3
-964.8924,17.948912,-940.11755,-982.0651,1000.0,-868.04456,54.706806,-781.5338,-944.2745,1000.0,-139.99542236328125,300.2206115722656,25000,68.40556359291077,,4
-995.3511,32.003094,-962.1146,-1038.5739,1000.0,-955.279,43.112556,-897.138,-1011.8141,1000.0,-155.25396728515625,384.23443603515625,30000,78.16512870788574,,5
-1102.5692,147.99649,-929.0001,-1290.6443,1000.0,-926.4468,23.42702,-891.30963,-959.63245,1000.0,-145.34205627441406,319.4407653808594,35000,90.25579905509949,,6
-1099.4072,111.001015,-943.48303,-1193.1035,1000.0,-1117.156,162.64159,-959.2566,-1425.8391,1000.0,-175.8398895263672,476.99365234375,40000,100.57051587104797,,7
-1051.8969,54.942852,-983.9643,-1118.5273,1000.0,-1072.6241,74.91477,-955.12177,-1177.3647,1000.0,-164.89541625976562,424.3409423828125,45000,109.39535570144653,,8
-1025.369,61.094772,-964.0609,-1108.7473,1000.0,-1096.2961,81.6441,-961.48224,-1194.5977,1000.0,-168.54672241210938,470.3023986816406,50000,119.39913201332092,,9
-921.8193,34.559246,-875.2675,-957.98755,1000.0,-989.3877,62.35095,-877.0894,-1050.2268,1000.0,-140.9188995361328,299.2554016113281,55000,131.16432857513428,,10
-790.3999,101.17229,-648.04376,-874.0194,1000.0,-974.41113,45.814587,-928.0039,-1062.0203,1000.0,-134.44677734375,284.5775451660156,60000,139.61679124832153,,11
-828.3499,112.3172,-694.0702,-968.9707,1000.0,-868.8024,55.628536,-774.3222,-946.6113,1000.0,-109.24724578857422,201.392822265625,65000,149.06142830848694,,12
-745.3909,68.306854,-688.53955,-841.453,1000.0,-857.20624,85.22991,-720.7455,-954.7279,1000.0,-104.432373046875,198.8231658935547,70000,162.44885540008545,,13
-842.92206,31.839779,-815.25183,-887.5212,1000.0,-845.80554,87.73153,-729.058,-960.47437,1000.0,-105.4308853149414,215.0293426513672,75000,172.70338034629822,,14
