Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-694.45526,59.595707,-633.42474,-775.30865,1000.0,-672.3315,98.96854,-521.09985,-831.38477,1000.0,-112.89527130126953,214.3011016845703,5000,11.05851435661316,-672.3315,0
-712.43976,19.708576,-684.76483,-729.14355,1000.0,-707.4237,51.02342,-632.47046,-787.1872,1000.0,-110.9058609008789,175.6775360107422,10000,27.09040665626526,,1
-739.9732,25.450588,-704.0808,-760.24274,1000.0,-792.2958,47.548832,-722.80164,-870.74414,1000.0,-121.68650817871094,224.8710479736328,15000,38.10535025596619,,2
-773.2817,50.96657,-715.03284,-839.17145,1000.0,-821.5594,82.56145,-715.93774,-931.5455,1000.0,-118.22403717041016,225.58863830566406,20000,47.933371782302856,,3
-838.1462,29.030884,-803.71436,-874.72766,1000.0,-859.724,57.717484,-806.7035,-957.40594,1000.0,-82.38540649414062,98.12289428710938,25000,57.612550497055054,,4
-862.34717,131.68268,-749.611,-1047.0835,1000.0,-879.49365,117.24966,-765.41077,-1086.4579,1000.0,-72.04461669921875,99.39641571044922,30000,68.1168475151062,,5
-979.1884,102.82899,-840.0315,-1085.3348,1000.0,-853.5189,101.31266,-701.4925,-985.6487,1000.0,-46.66818618774414,72.43529510498047,35000,77.96207094192505,,6
-913.1089,108.92445,-811.1276,-1064.0829,1000.0,-934.65393,83.04771,-828.953,-1080.1515,1000.0,-52.93038558959961,76.90547180175781,40000,87.51940822601318,,7
-834.4695,34.49896,-786.80493,-867.3203,1000.0,-974.61975,99.21972,-807.4679,-1099.8585,1000.0,-28.808517456054688,51.527347564697266,45000,98.28934335708618,,8
-920.0954,52.481026,-854.4581,-982.91736,1000.0,-935.5248,52.193306,-879.71204,-1022.6636,1000.0,-0.2970563471317291,45.905643463134766,50000,108.00615906715393,,9
-769.55304,28.386728,-742.7788,-808.8451,1000.0,-905.2684,49.178757,-861.9723,-1001.4938,1000.0,14.223652839660645,41.33427047729492,55000,117.85031414031982,,10
-814.617,119.9546,-645.9362,-914.5697,1000.0,-854.9603,70.90918,-744.2287,-949.5161,1000.0,30.90901756286621,54.22967529296875,60000,127.11030006408691,,11
-807.7719,64.12187,-732.96466,-889.5639,1000.0,-776.7893,55.582108,-697.5498,-847.4328,1000.0,39.495948791503906,60.1008415222168,65000,138.22474718093872,,12
-730.11005,26.066553,-705.45306,-766.17084,1000.0,-780.63617,44.936893,-702.63196,-843.23865,1000.0,34.97205352783203,55.316959381103516,70000,147.58401942253113,,13
-723.7568,10.653287,-709.3462,-734.7687,1000.0,-708.6327,67.18395,-595.0173,-781.01886,1000.0,34.63988494873047,40.86553955078125,75000,157.2664532661438,,14
-734.2004,50.162426,-695.0043,-805.0054,1000.0,-654.18054,34.47793,-605.2964,-713.4372,1000.0,29.62627410888672,38.648868560791016,80000,168.22191524505615,,15
-592.5887,56.45856,-514.8777,-647.32196,1000.0,-676.5795,62.392494,-578.9391,-770.7718,1000.0,13.010224342346191,32.744937896728516,85000,177.72764039039612,,16
-658.3083,57.27894,-578.2311,-708.9321,1000.0,-645.4467,64.538124,-529.3506,-721.97314,1000.0,7.012870788574219,23.33523178100586,90000,187.3370020389557,,17
-537.8924,50.35875,-479.62616,-602.49084,1000.0,-648.23096,44.207664,-602.8666,-732.5831,1000.0,-4.094815731048584,27.798805236816406,95000,198.37853026390076,,18
-584.7285,42.423046,-554.0287,-644.71826,1000.0,-587.2069,59.741997,-477.69788,-653.8612,1000.0,-2.252389669418335,34.56699752807617,100000,207.6399188041687,,19
-552.9263,10.219082,-541.1503,-566.0696,1000.0,-572.16595,40.127182,-518.78906,-637.8063,1000.0,0.1949816346168518,23.34160041809082,105000,217.33850526809692,,20
-535.499,25.538773,-500.2326,-559.8816,1000.0,-628.90027,65.64304,-534.4085,-734.3214,1000.0,-12.926359176635742,50.176177978515625,110000,226.93795800209045,,21
-532.7359,51.56986,-483.65228,-603.99255,1000.0,-527.02893,27.93797,-495.94693,-579.58014,1000.0,4.4817795753479,23.387683868408203,115000,237.7172727584839,,22
-421.88535,125.25316,-247.28987,-535.0646,1000.0,-502.00772,51.077736,-413.41376,-553.68396,1000.0,8.467818260192871,22.91799545288086,120000,247.3374583721161,,23
-471.06567,43.69352,-433.5356,-532.34314,1000.0,-502.37494,65.47621,-402.4386,-576.03455,1000.0,6.125225067138672,22.137920379638672,125000,257.0063169002533,,24
-447.9481,50.48695,-380.52475,-502.00598,1000.0,-511.0605,75.31494,-435.9911,-648.3224,1000.0,2.9060170650482178,30.181411743164062,130000,267.70858359336853,,25
-447.9553,29.483059,-415.37207,-486.77747,1000.0,-466.40918,23.819206,-438.00623,-502.6668,1000.0,5.39489221572876,20.346643447875977,135000,277.3577265739441,,26
-420.30405,47.040237,-370.43445,-483.36945,1000.0,-481.11847,52.30601,-393.20657,-544.97437,1000.0,1.1004478931427002,17.22123146057129,140000,286.9437940120697,,27
-468.2062,16.067642,-454.89944,-490.8111,1000.0,-439.53662,34.131287,-398.5106,-497.92026,1000.0,2.1023666858673096,30.786605834960938,145000,296.33148550987244,,28
-480.67892,21.586365,-463.4314,-511.11664,1000.0,-476.98248,31.040253,-439.70142,-531.43195,1000.0,-2.845660448074341,12.722785949707031,150000,307.3035387992859,,29
-442.5204,9.340072,-429.51727,-451.03308,1000.0,-458.9034,12.35625,-444.86108,-477.87735,1000.0,-1.5199544429779053,13.78154468536377,155000,316.6676585674286,,30
-449.21213,25.100636,-420.81946,-481.8599,1000.0,-455.61987,51.31034,-353.237,-487.2135,1000.0,-0.7551753520965576,19.69034767150879,160000,326.3322720527649,,31
-418.43497,36.294773,-367.1194,-445.0926,1000.0,-422.11444,48.553833,-364.32474,-493.9422,1000.0,3.3618133068084717,21.009525299072266,165000,337.1199014186859,,32
-374.80722,34.78491,-342.7055,-423.13956,1000.0,-414.0329,31.419024,-359.97156,-457.88055,1000.0,2.9122796058654785,14.388593673706055,170000,346.76443791389465,,33
-368.47885,26.30102,-332.0987,-393.37564,1000.0,-446.80273,50.92515,-388.3316,-528.28,1000.0,-2.03009295463562,18.628578186035156,175000,356.5102014541626,,34
-407.25305,52.765522,-343.19913,-472.433,1000.0,-443.60797,70.10973,-348.3506,-554.1282,1000.0,-2.697556495666504,26.874149322509766,180000,367.43427181243896,,35
-379.65393,22.308664,-351.52942,-406.09656,1000.0,-375.54486,28.363285,-346.8258,-420.55182,1000.0,4.256478786468506,21.77296257019043,185000,376.9044315814972,,36
-389.31558,85.09302,-275.9192,-480.9018,1000.0,-437.20883,25.456102,-405.32492,-479.5472,1000.0,-5.068754196166992,20.102201461791992,190000,386.5387804508209,,37
-369.07593,43.071285,-313.9534,-419.08344,1000.0,-388.37143,33.41311,-344.84613,-447.2068,1000.0,2.46687388420105,17.16775131225586,195000,396.24975633621216,,38
-413.40063,7.5442743,-403.1305,-421.03915,1000.0,-329.3703,25.385292,-297.53693,-370.38354,1000.0,9.893016815185547,16.373123168945312,200000,406.83404064178467,,39
-337.38242,48.492153,-274.9666,-393.1959,1000.0,-352.10004,32.8557,-299.72974,-387.8491,1000.0,3.7534291744232178,20.00712776184082,205000,416.6460950374603,,40
-257.65283,33.711098,-220.79155,-302.26727,1000.0,-322.8399,50.013096,-268.77655,-410.0222,1000.0,4.070205211639404,16.418766021728516,210000,425.7051293849945,,41
-341.45255,14.37909,-321.33774,-354.09518,1000.0,-342.20068,35.40795,-299.0552,-389.03113,1000.0,-2.410287857055664,21.217975616455078,215000,436.7744426727295,,42
