Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-721.2891,38.87419,-692.96844,-776.2571,1000.0,-642.33594,66.47612,-512.0807,-692.95667,1000.0,-0.06902685016393661,151.7807159423828,5000,14.241742610931396,-642.33594,0
-765.71387,69.570625,-698.01996,-861.3933,1000.0,-699.6759,94.60683,-575.7932,-828.70874,1000.0,-0.07362266629934311,133.9574737548828,10000,148.7758915424347,,1
-806.5219,29.18784,-769.6117,-840.98083,1000.0,-737.8085,25.64893,-707.12933,-777.62134,1000.0,-0.12108737230300903,57.12468719482422,15000,159.92892575263977,,2
-821.0173,39.906963,-780.077,-875.1292,1000.0,-763.3895,38.039604,-727.1961,-829.89966,1000.0,-0.08153494447469711,30.94918441772461,20000,169.97170114517212,,3
-837.7044,22.032787,-819.8549,-868.7473,1000.0,-810.0189,54.04735,-731.5501,-875.86304,1000.0,-0.09269464761018753,33.510009765625,25000,178.73629760742188,,4
-871.32355,47.392612,-809.6437,-924.8744,1000.0,-801.30457,47.129944,-718.9901,-857.6962,1000.0,-0.11955936998128891,29.092592239379883,30000,191.74247193336487,,5
-751.5991,25.944311,-732.70056,-788.28424,1000.0,-748.26965,54.5088,-673.6216,-841.4,1000.0,-0.06617589294910431,45.106163024902344,35000,201.47566509246826,,6
-742.4112,5.746945,-735.90894,-749.8851,1000.0,-720.2327,24.445442,-684.50073,-744.92664,1000.0,-0.10212499648332596,26.673309326171875,40000,211.04545092582703,,7
-640.311,21.462187,-621.99603,-670.4293,1000.0,-700.5251,36.521065,-636.7228,-729.8419,1000.0,-0.1160690188407898,23.102787017822266,45000,223.2119584083557,,8
-608.58136,30.425638,-570.88416,-645.39575,1000.0,-644.21826,23.96754,-615.3788,-677.06537,1000.0,-0.13682909309864044,16.941940307617188,50000,232.97773385047913,,9
-534.24774,29.464718,-500.20477,-572.07935,1000.0,-596.93854,71.932686,-503.73813,-694.6364,1000.0,-0.04729733616113663,81.96131134033203,55000,243.2459819316864,,10
-551.47217,21.184446,-523.77966,-575.2187,1000.0,-553.981,33.16002,-500.82178,-592.1462,1000.0,-0.11992128938436508,20.04716682434082,60000,376.49040126800537,,11
-518.14966,28.880983,-477.55554,-542.35236,1000.0,-554.2967,55.55507,-462.9286,-637.8626,1000.0,-0.10159441828727722,31.185407638549805,65000,386.05588364601135,,12
-511.1809,19.575842,-489.58102,-536.97766,1000.0,-571.6499,48.119846,-496.99658,-631.152,1000.0,-0.08693813532590866,26.757314682006836,70000,398.94105982780457,,13
-563.8129,58.400608,-511.17273,-645.2484,1000.0,-542.76935,52.438137,-473.30338,-610.15625,1000.0,-0.09726711362600327,28.259977340698242,75000,409.3275489807129,,14
-514.4626,28.16014,-474.97272,-538.6689,1000.0,-529.02277,60.586754,-444.38727,-608.76666,1000.0,-0.1096644252538681,29.710018157958984,80000,419.2609443664551,,15
-555.8138,31.248173,-529.20966,-599.6746,1000.0,-649.7972,63.34802,-565.11316,-727.0991,1000.0,-0.0724969208240509,44.42303466796875,85000,428.6817810535431,,16
-554.55585,22.326149,-523.13806,-572.9806,1000.0,-583.4125,79.27279,-441.28265,-680.6721,1000.0,-0.061048973351716995,26.91077995300293,90000,441.1559455394745,,17
-488.62646,44.963436,-453.0164,-552.05505,1000.0,-420.16016,73.474754,-298.05954,-511.3498,1000.0,-0.070408895611763,31.925037384033203,95000,451.4876866340637,,18
-567.4702,51.64865,-497.85193,-621.4195,1000.0,-476.56656,56.949192,-409.41708,-548.3371,1000.0,-0.11764982342720032,19.038822174072266,100000,460.57357120513916,,19
-525.1738,85.52475,-443.30084,-643.20984,1000.0,-469.72592,60.626053,-381.8556,-524.14606,1000.0,-0.08793952316045761,29.664743423461914,105000,474.1606993675232,,20
-437.3539,104.084465,-290.47556,-519.1852,1000.0,-493.0669,39.668606,-446.66846,-558.0254,1000.0,-0.05246305838227272,22.961368560791016,110000,605.9767861366272,,21
-461.4589,55.096348,-419.8822,-539.3169,1000.0,-489.16656,26.441185,-474.35388,-541.9706,1000.0,-0.06242159381508827,34.54492950439453,115000,618.4641664028168,,22
-499.13354,109.77294,-348.24377,-606.191,1000.0,-532.3952,103.23004,-389.93005,-701.4944,1000.0,-0.05262424051761627,44.58687210083008,120000,626.985880613327,,23
-430.75888,110.12335,-275.2956,-516.4967,1000.0,-474.67563,25.180206,-444.3301,-513.4072,1000.0,-0.08271811157464981,27.790342330932617,125000,636.1428687572479,,24
-466.1106,8.156169,-459.14728,-477.55585,1000.0,-459.30298,74.796844,-398.60532,-579.51556,1000.0,-0.04089526832103729,39.280967712402344,130000,648.6486535072327,,25
-472.6193,63.59084,-412.1686,-560.50726,1000.0,-434.725,26.79099,-396.9912,-468.64114,1000.0,-0.08557475358247757,19.53342056274414,135000,658.0024065971375,,26
-495.40677,24.960756,-466.29584,-527.2531,1000.0,-494.44638,61.541325,-421.84314,-585.0301,1000.0,-0.09058137238025665,36.57228088378906,140000,666.8539910316467,,27
-379.3221,43.55303,-320.71725,-425.03802,1000.0,-493.39804,25.61398,-471.89648,-543.4834,1000.0,-0.05590915307402611,33.5622673034668,145000,676.3988234996796,,28
-311.70255,14.542128,-292.1059,-326.9035,1000.0,-402.0463,57.385574,-324.57703,-495.03522,1000.0,-0.09165570884943008,25.511472702026367,150000,687.9855055809021,,29
-381.90417,16.714834,-358.77545,-397.69647,1000.0,-419.51108,83.16545,-270.0468,-516.58344,1000.0,-0.005167956463992596,32.46230697631836,155000,696.6310696601868,,30
