Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-759.324,86.26875,-693.59296,-881.2008,1000.0,-621.6655,62.357994,-499.24933,-672.90796,1000.0,-104.19490051269531,140.09226989746094,5000,12.514328002929688,-621.6655,0
-765.7412,103.07415,-688.3097,-911.41345,1000.0,-722.73175,54.341896,-652.8835,-788.5555,1000.0,-113.76954650878906,177.10751342773438,10000,25.677261114120483,,1
-885.8838,101.792175,-812.75903,-1029.8335,1000.0,-811.6434,55.141483,-731.59436,-890.823,1000.0,-101.01995086669922,114.51065063476562,15000,35.632566928863525,,2
-847.50214,145.09859,-670.6733,-1026.0779,1000.0,-839.5122,48.073376,-781.2051,-903.27014,1000.0,-65.92906951904297,57.40839767456055,20000,45.93109393119812,,3
-945.5191,38.717464,-891.8357,-981.6952,1000.0,-936.61835,93.21283,-802.7235,-1034.7716,1000.0,-46.148468017578125,65.25043487548828,25000,56.97693347930908,,4
-933.74805,129.79112,-793.3817,-1106.3596,1000.0,-918.62,73.96078,-862.2837,-1062.8108,1000.0,-4.222667694091797,33.89013671875,30000,67.02250742912292,,5
-950.75824,13.101535,-935.3695,-967.38934,1000.0,-907.5459,36.74389,-848.6677,-963.3139,1000.0,12.644186973571777,44.245662689208984,35000,77.13547253608704,,6
-886.22144,47.835148,-845.85443,-953.4175,1000.0,-986.2899,19.629639,-964.86475,-1013.0817,1000.0,5.549363136291504,36.044586181640625,40000,88.150141954422,,7
-846.0918,61.530632,-766.0325,-915.64954,1000.0,-918.9962,75.62126,-823.97217,-1008.3739,1000.0,11.664229393005371,42.33442306518555,45000,98.51116418838501,,8
-800.2298,10.986855,-789.1339,-815.19727,1000.0,-812.56024,33.075268,-775.0073,-867.9491,1000.0,28.376733779907227,30.053356170654297,50000,108.48899936676025,,9
-715.8567,32.886005,-678.97455,-758.83374,1000.0,-779.90594,46.71818,-701.2654,-833.74365,1000.0,13.143993377685547,42.368709564208984,55000,119.05440330505371,,10
-705.14813,15.220378,-688.7352,-725.4149,1000.0,-712.1928,45.947372,-634.0857,-757.9526,1000.0,16.461078643798828,25.387327194213867,60000,128.74290347099304,,11
-661.65216,107.509705,-539.96484,-801.43665,1000.0,-674.4334,27.96085,-641.8756,-725.3673,1000.0,7.956183433532715,27.035099029541016,65000,138.4876046180725,,12
-560.4782,46.043404,-509.26865,-620.9137,1000.0,-674.11847,43.82531,-609.21936,-723.52893,1000.0,-3.4134600162506104,26.17776870727539,70000,147.8467836380005,,13
-684.7503,49.212654,-636.9713,-752.46564,1000.0,-599.88495,14.035662,-576.1793,-617.4746,1000.0,3.709704637527466,23.338184356689453,75000,159.1762511730194,,14
-604.87006,39.110264,-553.4038,-648.1485,1000.0,-662.34814,67.549644,-579.4713,-754.37695,1000.0,-3.561167001724243,31.736549377441406,80000,168.90127682685852,,15
-615.91406,71.28838,-537.0693,-709.74854,1000.0,-601.7372,15.620192,-581.5178,-625.47327,1000.0,5.6159348487854,23.171091079711914,85000,178.70683073997498,,16
-682.49164,45.968372,-620.42334,-730.26746,1000.0,-613.7209,34.72646,-553.343,-654.71246,1000.0,0.8571427464485168,18.098920822143555,90000,190.38814616203308,,17
-635.5549,21.240864,-616.0673,-665.09607,1000.0,-593.4413,60.10499,-479.755,-649.7688,1000.0,2.6997807025909424,15.222845077514648,95000,199.82099795341492,,18
-606.94745,44.21102,-569.2311,-668.99164,1000.0,-603.7458,61.448807,-538.8807,-710.4713,1000.0,-5.697751522064209,27.57935333251953,100000,209.21395587921143,,19
-634.9599,117.545685,-512.31445,-793.46313,1000.0,-594.1058,27.608444,-575.198,-646.88684,1000.0,-1.736799955368042,21.445693969726562,105000,221.33811712265015,,20
-609.27405,90.47851,-536.0176,-736.75745,1000.0,-573.94385,49.58841,-486.42258,-631.1041,1000.0,-14.570849418640137,49.83146286010742,110000,230.6965138912201,,21
-545.0447,46.43515,-500.9164,-609.226,1000.0,-561.716,53.934536,-490.93414,-651.7971,1000.0,-1.954108715057373,25.890180587768555,115000,240.91927814483643,,22
