Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-652.4984,28.933498,-619.6553,-690.05566,1000.0,-676.1305,39.79953,-630.0874,-733.78644,1000.0,-0.08843774348497391,5000,14.829004287719727,-676.1305,0
-821.0339,144.58572,-669.6922,-1015.7816,1000.0,-703.2061,98.262726,-606.9603,-884.0102,1000.0,-0.06390520185232162,10000,160.00289702415466,,1
-760.82086,49.705647,-692.8582,-810.35156,1000.0,-756.65216,44.79911,-703.8541,-829.2267,1000.0,-0.14284475147724152,15000,171.96598315238953,,2
-806.36914,30.783092,-783.215,-849.8729,1000.0,-828.0825,28.587215,-780.3302,-858.11896,1000.0,-0.10470878332853317,20000,182.48256874084473,,3
-780.53925,38.56171,-728.90015,-821.5431,1000.0,-809.79364,52.254604,-744.6914,-895.88654,1000.0,-0.11521472036838531,25000,191.58240413665771,,4
-788.6455,38.552063,-744.9335,-838.72095,1000.0,-735.13214,76.63252,-624.7682,-853.912,1000.0,-0.09027957171201706,30000,204.77653789520264,,5
-772.43243,25.512224,-741.0346,-803.5243,1000.0,-754.54236,94.884254,-588.44165,-854.3721,1000.0,-0.08147157728672028,35000,213.86328673362732,,6
-770.8816,104.591896,-649.344,-904.66174,1000.0,-703.15295,29.056465,-680.1293,-758.8874,1000.0,-0.08713100105524063,40000,222.57122468948364,,7
-692.99396,63.868145,-636.5667,-782.2869,1000.0,-708.56305,22.390175,-674.9514,-738.30444,1000.0,-0.09756898880004883,45000,232.5104422569275,,8
-626.14105,74.73267,-520.7169,-685.31604,1000.0,-690.68604,32.979992,-633.86743,-726.03406,1000.0,-0.08521426469087601,50000,245.08457899093628,,9
-647.9891,55.02842,-592.8717,-723.1266,1000.0,-679.02374,85.86726,-578.46875,-829.492,1000.0,-0.06085696816444397,55000,254.63052439689636,,10
-573.4339,44.561836,-530.20264,-634.76013,1000.0,-599.9259,97.36291,-478.21005,-773.98816,1000.0,-0.05248064920306206,60000,388.8675880432129,,11
-590.08234,27.599781,-554.8118,-622.1957,1000.0,-652.03955,76.568954,-567.6332,-770.45984,1000.0,-0.02698414772748947,65000,398.43869614601135,,12
-567.18146,54.465492,-491.52478,-617.5312,1000.0,-600.69196,49.53797,-543.8211,-677.6599,1000.0,-0.09450186789035797,70000,408.07832860946655,,13
-533.3243,69.151375,-435.77258,-588.0685,1000.0,-600.2673,63.19669,-525.05334,-682.6261,1000.0,-0.11490197479724884,75000,421.819708108902,,14
-518.0215,59.17651,-436.198,-574.1476,1000.0,-598.9037,35.74026,-553.7515,-647.61584,1000.0,-0.09345046430826187,80000,431.3114650249481,,15
-545.94904,49.676136,-490.4099,-610.97626,1000.0,-545.1312,5.3898816,-539.71436,-553.0143,1000.0,-0.027709513902664185,85000,440.898592710495,,16
-521.40845,44.118134,-462.17847,-568.0079,1000.0,-550.5259,58.263557,-463.13586,-609.2186,1000.0,-0.09482480585575104,90000,454.04799008369446,,17
-472.86154,90.8498,-371.5672,-591.95667,1000.0,-472.41318,47.201435,-421.89337,-556.98126,1000.0,-0.10543852299451828,95000,462.4952380657196,,18
-589.83405,80.86319,-485.1982,-682.1118,1000.0,-518.01575,39.08274,-457.8603,-567.1566,1000.0,-0.07851000875234604,100000,474.00444412231445,,19
-469.34805,68.2159,-372.95972,-521.01746,1000.0,-550.95374,87.824814,-396.28824,-650.9459,1000.0,-0.07225292921066284,105000,487.09047174453735,,20
-490.19168,105.15101,-393.08652,-636.2791,1000.0,-411.5899,73.85131,-306.70715,-511.14746,1000.0,-0.053187571465969086,110000,619.4511818885803,,21
-421.85678,56.19415,-352.60767,-490.2466,1000.0,-471.27588,77.24785,-344.57907,-583.2883,1000.0,-0.07693333178758621,115000,631.9472315311432,,22
-562.8703,9.578651,-552.1987,-575.432,1000.0,-508.25888,70.597046,-396.50388,-576.7384,1000.0,-0.1013096421957016,120000,641.8100044727325,,23
-374.42752,84.42821,-277.61768,-483.35577,1000.0,-461.57138,110.6305,-330.6822,-660.05853,1000.0,-0.05202300846576691,125000,651.9708969593048,,24
-493.9393,71.33838,-401.62836,-575.34766,1000.0,-475.79028,48.071568,-399.91498,-531.924,1000.0,-0.0411519780755043,130000,664.9253993034363,,25
-388.3311,97.68101,-256.2188,-489.3462,1000.0,-482.66147,78.318375,-346.75482,-557.8904,1000.0,-0.0930871069431305,135000,673.6059472560883,,26
-459.3027,27.28902,-439.7523,-497.89407,1000.0,-411.36237,74.65416,-346.83975,-522.6262,1000.0,-0.01717500016093254,140000,684.2050430774689,,27
-449.96268,43.9782,-406.53467,-510.23352,1000.0,-453.13696,91.27093,-343.94147,-621.0322,1000.0,-0.018724218010902405,145000,696.9844439029694,,28
-460.34122,41.77819,-402.13544,-498.22992,1000.0,-437.0753,48.334473,-368.97113,-485.28583,1000.0,-0.02973891608417034,150000,707.3898124694824,,29
-418.63364,66.01783,-325.726,-473.06625,1000.0,-416.7963,42.262066,-346.74796,-461.2812,1000.0,-0.039454489946365356,155000,718.0889537334442,,30
-335.86148,56.05483,-287.78735,-414.48676,1000.0,-422.12314,17.82479,-392.31802,-443.57123,1000.0,-0.10274853557348251,160000,854.2204790115356,,31
-462.5731,23.970016,-435.17065,-493.55646,1000.0,-423.1198,113.97709,-220.39551,-529.1079,1000.0,-0.05038904771208763,165000,864.7758557796478,,32
-413.6997,34.56233,-374.9682,-458.88666,1000.0,-423.65952,37.316795,-371.66754,-475.82343,1000.0,-0.08679237961769104,170000,877.4233572483063,,33
-422.75888,67.8402,-327.9217,-482.74225,1000.0,-426.6534,19.305593,-394.8804,-447.36075,1000.0,-0.1273537576198578,175000,886.473085641861,,34
-393.42322,79.331406,-297.95477,-492.19214,1000.0,-373.67972,44.028732,-313.15332,-434.88403,1000.0,-0.08790446817874908,180000,897.7352278232574,,35
-375.69315,22.824858,-348.63583,-404.46606,1000.0,-384.11566,33.563313,-349.14233,-447.29163,1000.0,-0.0878232941031456,185000,910.1511569023132,,36
-312.3678,32.53541,-283.93176,-357.9127,1000.0,-315.25555,11.784243,-295.16867,-329.27795,1000.0,-0.06832224130630493,190000,919.1805391311646,,37
-374.51083,82.457924,-305.90216,-490.47665,1000.0,-286.74384,51.4055,-226.36943,-347.98676,1000.0,-0.12395533174276352,195000,930.2507660388947,,38
-279.63644,47.20693,-216.39806,-329.78723,1000.0,-336.39954,35.633965,-279.3586,-378.27356,1000.0,-0.09073595702648163,200000,942.3696496486664,,39
-284.81787,16.312796,-264.2965,-304.20633,1000.0,-270.48096,30.01067,-247.14091,-328.53284,1000.0,-0.0666225329041481,205000,951.6368794441223,,40
-264.2808,83.57899,-159.81313,-364.40042,1000.0,-273.30225,31.38309,-224.09027,-304.52734,1000.0,-0.11748480796813965,210000,1086.2600872516632,,41
-261.24265,21.032742,-232.73764,-282.85468,1000.0,-238.84848,34.72106,-182.64117,-286.19925,1000.0,-0.06421789526939392,215000,1095.6123721599579,,42
-285.91794,7.706839,-277.44153,-296.0896,1000.0,-244.42131,32.501938,-188.4207,-288.59967,1000.0,-0.14316870272159576,220000,1104.8053033351898,,43
-244.11516,13.900395,-230.74194,-263.27972,1000.0,-247.91794,50.252598,-184.18958,-326.2602,1000.0,-0.09534340351819992,225000,1114.055935382843,,44
-308.49466,27.595957,-273.6175,-341.09875,1000.0,-329.86496,66.1962,-253.59665,-428.4819,1000.0,-0.03875717520713806,230000,1126.4222376346588,,45
-245.46779,75.90728,-138.16743,-301.91946,1000.0,-281.67926,94.70787,-166.50673,-414.09872,1000.0,-0.03334746137261391,235000,1136.9712722301483,,46
-238.78673,38.939713,-194.57701,-289.3271,1000.0,-271.4649,41.690994,-225.41232,-337.6267,1000.0,-0.0754399374127388,240000,1146.6263415813446,,47
-237.399,17.982683,-218.38715,-261.5329,1000.0,-250.82425,12.569604,-231.42331,-262.8842,1000.0,-0.03725401684641838,245000,1158.992018699646,,48
-221.99892,30.121109,-179.75404,-247.8595,1000.0,-252.76875,70.890724,-184.82314,-353.03815,1000.0,-0.07856633514165878,250000,1169.4477498531342,,49
-198.45796,38.479607,-167.76309,-252.72054,1000.0,-213.19206,39.15832,-157.95158,-279.07132,1000.0,-0.06045066937804222,255000,1178.6502714157104,,50
-136.97627,6.8297915,-129.41028,-145.95888,1000.0,-208.8383,43.84442,-143.9473,-264.56982,1000.0,-0.08591170608997345,260000,1315.1232163906097,,51
