Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-808.7485,15.873937,-786.3344,-821.04156,1000.0,-686.95435,12.260406,-674.10504,-708.76,1000.0,-114.73625946044922,5000,13.84385085105896,-686.95435,0
-743.10675,35.15049,-710.9283,-792.0098,1000.0,-692.7063,110.25621,-574.45294,-895.06824,1000.0,-115.82554626464844,10000,29.395262718200684,,1
-787.08527,67.52202,-725.77576,-881.1411,1000.0,-785.1766,87.661385,-663.2903,-890.9386,1000.0,-133.59805297851562,15000,40.68018412590027,,2
-786.8621,25.041325,-755.4998,-816.7878,1000.0,-754.5261,46.21989,-674.6102,-814.8688,1000.0,-126.56554412841797,20000,52.12678384780884,,3
-929.8137,86.45354,-812.208,-1017.5647,1000.0,-926.35333,57.570568,-845.8376,-1004.078,1000.0,-154.78848266601562,25000,63.952712297439575,,4
-1062.2717,65.4354,-989.6394,-1148.2477,1000.0,-946.39514,62.806534,-875.0039,-1040.0676,1000.0,-156.8289031982422,30000,75.31617045402527,,5
-1184.0037,75.15566,-1077.9963,-1243.6703,1000.0,-1137.4619,66.349266,-1058.9805,-1236.7393,1000.0,-188.87147521972656,35000,87.2507209777832,,6
-1167.8383,54.707993,-1094.5781,-1226.0128,1000.0,-1271.2164,60.894608,-1175.865,-1351.7759,1000.0,-211.2886505126953,40000,98.83112215995789,,7
-1115.4056,74.40766,-1019.46765,-1200.8136,1000.0,-1180.6002,86.74285,-1095.7196,-1341.2566,1000.0,-195.13536071777344,45000,111.69676470756531,,8
-1187.7598,102.525795,-1058.138,-1308.8374,1000.0,-1134.1458,48.215298,-1090.1295,-1209.4899,1000.0,-185.8929443359375,50000,123.14941263198853,,9
-1050.4458,18.45571,-1030.8798,-1075.1887,1000.0,-1083.7097,110.809654,-903.50104,-1206.1497,1000.0,-178.4190216064453,55000,136.01692247390747,,10
-1022.6455,62.161007,-976.2988,-1110.5103,1000.0,-1130.9216,79.60525,-998.7456,-1236.0271,1000.0,-184.7435760498047,60000,147.99193620681763,,11
-1040.7365,39.893757,-984.32605,-1069.763,1000.0,-1035.4636,84.9416,-925.4612,-1176.805,1000.0,-168.5800018310547,65000,160.83506727218628,,12
-934.63605,45.236355,-872.355,-978.43713,1000.0,-993.52405,87.1157,-888.57587,-1151.974,1000.0,-161.8979949951172,70000,172.2697081565857,,13
-899.17755,134.51292,-737.2466,-1066.5974,1000.0,-992.5172,57.688114,-878.5137,-1034.6678,1000.0,-161.8776397705078,75000,184.9804527759552,,14
-877.44366,15.242156,-861.5117,-897.984,1000.0,-878.3613,89.458496,-718.5396,-994.8259,1000.0,-142.20603942871094,80000,195.04374289512634,,15
-915.66846,25.083994,-896.5216,-951.1041,1000.0,-858.0917,49.046673,-794.74756,-931.19116,1000.0,-138.4925079345703,85000,206.41856956481934,,16
-818.7637,25.920694,-790.3273,-853.0156,1000.0,-920.7217,55.660267,-859.5261,-1010.98334,1000.0,-147.41885375976562,90000,218.9055335521698,,17
-950.94855,43.365246,-889.84546,-986.0415,1000.0,-937.26794,64.51861,-846.0819,-1025.3926,1000.0,-151.19886779785156,95000,229.99536657333374,,18
-802.43915,4.79182,-795.6903,-806.3446,1000.0,-877.7052,97.36136,-756.093,-1045.2109,1000.0,-140.58372497558594,100000,241.50927186012268,,19
-894.3364,55.67603,-817.6361,-948.0984,1000.0,-838.7816,42.435246,-774.9387,-890.09814,1000.0,-133.36279296875,105000,253.75832438468933,,20
-873.8138,75.17812,-782.9679,-967.06866,1000.0,-829.6908,80.90202,-711.272,-940.5581,1000.0,-131.12217712402344,110000,265.991614818573,,21
-805.89105,111.15759,-651.1627,-907.3046,1000.0,-854.3202,133.44995,-595.3269,-959.58167,1000.0,-134.38516235351562,115000,277.32296800613403,,22
-1015.42865,95.44299,-880.5707,-1087.7614,1000.0,-984.38654,91.49972,-854.498,-1130.7336,1000.0,-155.13949584960938,120000,289.9809899330139,,23
