Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
12.151515,7.110049,32.0,3.0,12.151515151515152,8.928572,5.274119,35.0,3.0,8.928571428571429,-0.05470648407936096,45.30775833129883,1000,7.059524297714233,8.928572,0
15.5,11.170876,53.0,4.0,15.5,10.316326,6.5412307,42.0,3.0,10.316326530612244,-0.05416857823729515,47.71458435058594,2011,11.875312805175781,,1
14.962963,8.270794,34.0,5.0,14.962962962962964,12.219512,8.072876,44.0,3.0,12.21951219512195,-0.04948999360203743,56.885005950927734,3013,13.690217018127441,,2
16.44,11.77482,54.0,6.0,16.44,15.968254,10.327907,59.0,4.0,15.968253968253968,-0.06617771089076996,79.97523498535156,4019,15.53455138206482,,3
24.944445,18.768984,67.0,4.0,24.944444444444443,14.3,8.564629,49.0,3.0,14.3,-0.06513703614473343,51.44662857055664,5020,17.40704917907715,,4
30.714285,19.00537,69.0,5.0,30.714285714285715,21.104166,12.195011,65.0,5.0,21.104166666666668,-0.01468674372881651,97.3985366821289,6033,19.708529710769653,,5
25.75,11.442793,42.0,7.0,25.75,22.666666,11.794538,52.0,7.0,22.666666666666668,-0.07772645354270935,85.11339569091797,7053,21.63607096672058,,6
28.2,17.151093,67.0,6.0,28.2,22.911112,13.991779,74.0,5.0,22.91111111111111,-0.05850861594080925,109.06692504882812,8084,23.506413459777832,,7
24.647058,13.239607,50.0,7.0,24.647058823529413,29.558823,15.922961,73.0,6.0,29.558823529411764,-0.02784169651567936,133.281005859375,9089,25.47468638420105,,8
38.81818,11.076742,56.0,20.0,38.81818181818182,23.511627,12.8793545,61.0,6.0,23.511627906976745,0.003925576340407133,101.85725402832031,10100,27.281787872314453,,9
42.090908,16.626675,68.0,11.0,42.09090909090909,33.866665,14.959352,62.0,10.0,33.86666666666667,-0.03323225677013397,128.5176544189453,11116,28.996368169784546,,10
35.833332,15.015733,64.0,10.0,35.833333333333336,34.724136,21.069502,111.0,12.0,34.724137931034484,-0.01635001227259636,216.4015350341797,12123,30.606704711914062,,11
45.0,23.94902,77.0,9.0,45.0,43.333332,18.81415,86.0,19.0,43.333333333333336,-0.024837516248226166,185.6590576171875,13163,32.44506049156189,,12
45.0,23.552649,107.0,14.0,45.0,48.714287,17.85962,81.0,16.0,48.714285714285715,-0.029457278549671173,180.4551239013672,14186,34.28733777999878,,13
46.11111,31.099997,111.0,17.0,46.111111111111114,48.38095,19.509403,92.0,20.0,48.38095238095238,-0.06322667747735977,180.16522216796875,15202,36.08832573890686,,14
44.6,14.813507,67.0,16.0,44.6,42.791668,16.66328,85.0,12.0,42.791666666666664,-0.03565983846783638,137.4713134765625,16229,41.73101210594177,,15
56.25,24.345175,103.0,25.0,56.25,49.714287,23.028229,126.0,17.0,49.714285714285715,-0.005140488967299461,218.3267059326172,17273,43.83413100242615,,16
48.22222,14.596633,64.0,20.0,48.22222222222222,48.190475,17.192522,96.0,24.0,48.19047619047619,-0.041356444358825684,163.75018310546875,18285,45.620094776153564,,17
39.636364,11.355997,55.0,19.0,39.63636363636363,53.473682,18.161175,105.0,27.0,53.473684210526315,0.013771898113191128,160.90513610839844,19301,47.526517152786255,,18
79.166664,25.002779,124.0,47.0,79.16666666666667,50.0,18.226355,85.0,17.0,50.0,-0.06360937654972076,145.5372314453125,20301,49.48750042915344,,19
54.75,22.927876,99.0,29.0,54.75,62.5625,25.634373,129.0,26.0,62.5625,-0.011550978757441044,245.0045928955078,21302,51.508116722106934,,20
55.625,16.04632,72.0,17.0,55.625,50.666668,21.16226,89.0,16.0,50.666666666666664,0.011769617907702923,200.69541931152344,22366,53.6390700340271,,21
64.85714,26.813793,122.0,42.0,64.85714285714286,62.52941,24.480768,115.0,29.0,62.529411764705884,-0.03257042169570923,244.34071350097656,23429,56.09920954704285,,22
63.42857,33.281727,127.0,11.0,63.42857142857143,48.238094,15.32786,78.0,21.0,48.23809523809524,-0.03724092245101929,158.96530151367188,24442,57.792957067489624,,23
57.22222,37.3416,118.0,10.0,57.22222222222222,59.764706,18.646967,108.0,21.0,59.76470588235294,-0.012790304608643055,174.5522918701172,25458,59.711405515670776,,24
55.125,15.365851,84.0,36.0,55.125,70.13333,23.610355,107.0,14.0,70.13333333333334,0.0029288933146744967,250.1254119873047,26510,62.21067404747009,,25
53.25,13.506943,81.0,37.0,53.25,63.9375,21.827358,130.0,44.0,63.9375,-0.06180465593934059,191.05177307128906,27533,64.45967030525208,,26
73.666664,21.123972,102.0,46.0,73.66666666666667,66.666664,21.917015,114.0,40.0,66.66666666666667,0.023612909018993378,191.27597045898438,28533,66.09891605377197,,27
76.833336,21.192898,116.0,48.0,76.83333333333333,77.46154,34.95847,143.0,39.0,77.46153846153847,-0.04747321456670761,307.79132080078125,29540,67.80086874961853,,28
97.4,9.068627,105.0,82.0,97.4,79.92308,33.28077,138.0,21.0,79.92307692307692,-0.040286507457494736,306.7178649902344,30579,69.91755294799805,,29
58.142857,22.999556,95.0,18.0,58.142857142857146,65.0,21.598612,109.0,34.0,65.0,-0.04402073472738266,185.36904907226562,31619,72.12168145179749,,30
66.57143,18.904701,93.0,47.0,66.57142857142857,63.0,35.415394,143.0,28.0,63.0,-0.052884291857481,305.3265075683594,32627,75.84786248207092,,31
77.0,30.789608,134.0,38.0,77.0,94.09091,38.008266,160.0,47.0,94.0909090909091,-0.03712853416800499,328.7801208496094,33662,77.72603154182434,,32
50.75,23.610115,101.0,13.0,50.75,76.42857,24.890373,119.0,22.0,76.42857142857143,-0.0379834920167923,170.96717834472656,34732,79.63021492958069,,33
58.142857,10.66943,73.0,44.0,58.142857142857146,75.21429,19.258314,107.0,42.0,75.21428571428571,-0.0046326289884746075,162.65194702148438,35785,81.78588271141052,,34
66.71429,18.398092,95.0,45.0,66.71428571428571,96.27273,31.331339,153.0,43.0,96.27272727272727,0.002671303926035762,279.078857421875,36844,83.81312108039856,,35
97.0,32.074913,143.0,54.0,97.0,111.666664,38.600517,197.0,73.0,111.66666666666667,-0.019591398537158966,283.768310546875,37849,85.72200846672058,,36
105.5,37.976967,165.0,60.0,105.5,79.38461,32.03493,127.0,38.0,79.38461538461539,-0.02181895263493061,215.9091339111328,38881,88.0727162361145,,37
97.8,46.20563,178.0,50.0,97.8,94.63636,33.702637,152.0,46.0,94.63636363636364,-0.019989730790257454,246.1060333251953,39922,89.97293829917908,,38
92.8,66.200905,220.0,41.0,92.8,91.90909,30.064941,140.0,50.0,91.9090909090909,0.004454449284821749,187.8094940185547,40933,91.54518818855286,,39
72.333336,22.74252,97.0,42.0,72.33333333333333,93.454544,43.30728,211.0,35.0,93.45454545454545,-0.0379750058054924,256.9111633300781,41961,93.15962505340576,,40
95.0,26.578188,130.0,54.0,95.0,84.416664,39.015934,171.0,44.0,84.41666666666667,-0.0054001957178115845,208.8444061279297,42974,95.03511238098145,,41
94.666664,68.61406,234.0,40.0,94.66666666666667,72.21429,25.461956,130.0,46.0,72.21428571428571,-0.004893776960670948,154.3233642578125,43985,96.96551585197449,,42
82.2,15.263027,93.0,52.0,82.2,75.78571,29.952768,119.0,25.0,75.78571428571429,-0.03299683704972267,246.63870239257812,45046,99.08318400382996,,43
59.857143,26.728415,111.0,28.0,59.857142857142854,84.5,32.684093,143.0,30.0,84.5,-0.019023165106773376,221.35211181640625,46060,101.40294551849365,,44
89.0,14.282857,109.0,68.0,89.0,89.083336,34.553,170.0,48.0,89.08333333333333,-0.04544169083237648,308.73248291015625,47129,103.61278486251831,,45
70.833336,18.451889,100.0,38.0,70.83333333333333,92.27273,31.374832,155.0,46.0,92.27272727272727,-0.05559523403644562,295.3132019042969,48144,105.76531624794006,,46
99.0,25.526457,141.0,69.0,99.0,84.333336,30.277424,120.0,27.0,84.33333333333333,-0.06117961183190346,194.73690795898438,49156,107.86818504333496,,47
116.75,31.609928,153.0,71.0,116.75,83.53846,32.681717,154.0,29.0,83.53846153846153,-0.02327011339366436,167.0345916748047,50242,113.44550251960754,,48
95.2,19.893719,123.0,72.0,95.2,102.3,40.000126,176.0,37.0,102.3,0.02754659578204155,289.8899230957031,51265,115.28593516349792,,49
74.5,23.907808,124.0,47.0,74.5,97.90909,31.736,144.0,38.0,97.9090909090909,-0.01870822347700596,284.88922119140625,52342,117.47626423835754,,50
101.75,32.652527,148.0,61.0,101.75,88.166664,49.953033,204.0,38.0,88.16666666666667,-0.060200728476047516,354.6229248046875,53400,119.44252443313599,,51
53.0,14.115594,78.0,37.0,53.0,91.72727,27.5288,148.0,54.0,91.72727272727273,-0.061808887869119644,222.35064697265625,54409,121.26547908782959,,52
143.5,44.913807,199.0,94.0,143.5,79.23077,37.748466,135.0,19.0,79.23076923076923,-0.04109939932823181,269.669921875,55439,123.5976231098175,,53
94.4,22.67686,137.0,75.0,94.4,83.583336,26.628489,128.0,50.0,83.58333333333333,-0.03711600601673126,159.1511688232422,56442,125.57362484931946,,54
137.66667,2.867442,141.0,134.0,137.66666666666666,77.38461,36.351994,192.0,45.0,77.38461538461539,-0.03390360623598099,264.2494201660156,57448,127.6099112033844,,55
88.2,8.840816,95.0,71.0,88.2,88.083336,31.765963,156.0,38.0,88.08333333333333,-0.05289244279265404,181.98968505859375,58505,129.43501830101013,,56
84.0,20.049938,120.0,62.0,84.0,79.07692,31.829987,141.0,36.0,79.07692307692308,-0.042710524052381516,174.6560516357422,59533,131.33004689216614,,57
75.166664,21.318356,108.0,40.0,75.16666666666667,105.9,22.469759,157.0,79.0,105.9,-0.048096321523189545,146.74879455566406,60592,133.47553396224976,,58
123.5,30.07075,155.0,86.0,123.5,96.454544,25.292341,145.0,63.0,96.45454545454545,0.0036795190535485744,186.00701904296875,61653,135.54338812828064,,59
189.0,77.58006,291.0,103.0,189.0,112.666664,33.62539,195.0,66.0,112.66666666666667,0.0016678880201652646,264.1328430175781,62667,137.5001151561737,,60
90.6,106.310104,303.0,31.0,90.6,130.625,33.5892,184.0,73.0,130.625,-0.014473837800323963,233.89175415039062,63712,139.21292400360107,,61
88.2,36.24031,154.0,51.0,88.2,111.888885,41.172928,181.0,57.0,111.88888888888889,-0.02786717750132084,285.71319580078125,64719,141.03688955307007,,62
89.0,24.996,120.0,64.0,89.0,119.888885,64.64509,248.0,41.0,119.88888888888889,-0.006934080272912979,309.2275390625,65798,142.83312821388245,,63
109.75,33.48414,154.0,66.0,109.75,96.181816,27.26909,149.0,56.0,96.18181818181819,-0.0397748164832592,160.79063415527344,66856,147.0170295238495,,64
115.0,12.980755,128.0,94.0,115.0,102.6,21.854977,150.0,74.0,102.6,-0.005608296487480402,82.2577896118164,67882,148.88718700408936,,65
138.33333,3.6817868,143.0,134.0,138.33333333333334,146.28572,50.55609,221.0,86.0,146.28571428571428,0.0002735257148742676,256.7083740234375,68906,150.60292553901672,,66
107.5,32.422985,162.0,79.0,107.5,115.6,48.46896,185.0,35.0,115.6,-0.05917956680059433,255.28028869628906,70062,152.65064001083374,,67
230.5,75.5,306.0,155.0,230.5,103.6,43.612385,205.0,53.0,103.6,-0.04505639150738716,270.1658935546875,71098,154.66314363479614,,68
100.0,32.179184,145.0,56.0,100.0,93.90909,32.614704,182.0,59.0,93.9090909090909,-0.017993051558732986,292.01611328125,72131,156.46026611328125,,69
83.0,24.54248,124.0,54.0,83.0,116.0,34.615345,182.0,62.0,116.0,-0.007368972059339285,295.4154968261719,73175,158.49262928962708,,70
110.0,35.97916,149.0,67.0,110.0,112.2,64.75925,241.0,39.0,112.2,-0.015402567572891712,379.85986328125,74297,160.46245050430298,,71
93.4,42.09798,168.0,51.0,93.4,103.9,25.248564,128.0,54.0,103.9,-0.010223564691841602,238.2611846923828,75336,162.26129126548767,,72
141.5,70.489365,249.0,69.0,141.5,116.44444,35.317955,174.0,56.0,116.44444444444444,-0.02618972398340702,199.89971923828125,76384,164.17792129516602,,73
145.0,47.58151,209.0,95.0,145.0,148.0,49.684002,214.0,83.0,148.0,-0.015863029286265373,310.985595703125,77568,166.28839683532715,,74
192.0,124.16387,367.0,92.0,192.0,137.375,50.489944,192.0,53.0,137.375,-0.020051077008247375,320.8686218261719,78667,168.5502164363861,,75
149.66667,39.46588,192.0,97.0,149.66666666666666,125.0,67.093216,238.0,49.0,125.0,-0.009868637658655643,456.7947998046875,79667,170.26562404632568,,76
189.33333,12.657892,205.0,174.0,189.33333333333334,115.333336,55.26904,210.0,38.0,115.33333333333333,-0.04800272360444069,313.7598876953125,80705,172.52292132377625,,77
98.6,30.26285,144.0,62.0,98.6,147.28572,57.673256,261.0,85.0,147.28571428571428,-0.017467888072133064,346.13409423828125,81736,174.40751957893372,,78
139.66667,40.30164,196.0,104.0,139.66666666666666,152.42857,61.54408,253.0,92.0,152.42857142857142,-0.01281899493187666,348.6004638671875,82803,176.36126327514648,,79
121.75,54.393818,205.0,55.0,121.75,126.666664,39.03275,219.0,83.0,126.66666666666667,-0.05644785612821579,243.18531799316406,83943,181.94689679145813,,80
149.0,57.814358,221.0,65.0,149.0,116.1,40.280144,193.0,78.0,116.1,-0.012358970940113068,129.0640869140625,85104,184.53605961799622,,81
115.0,10.36822,131.0,104.0,115.0,146.5,65.34906,282.0,36.0,146.5,-0.003834376111626625,275.5426940917969,86276,186.71816754341125,,82
156.0,34.765884,200.0,115.0,156.0,144.57143,45.943623,192.0,82.0,144.57142857142858,-0.02980222925543785,247.73046875,87288,188.6598925590515,,83
114.25,38.36258,176.0,73.0,114.25,255.8,100.23852,417.0,152.0,255.8,-0.04374482482671738,491.6067810058594,88567,190.83793711662292,,84
129.25,40.831207,181.0,67.0,129.25,152.71428,64.59702,261.0,67.0,152.71428571428572,-0.00034622036037035286,282.18994140625,89636,192.8315031528473,,85
239.0,62.0,301.0,177.0,239.0,152.14285,59.333027,260.0,80.0,152.14285714285714,-0.034857217222452164,236.35986328125,90701,195.12765645980835,,86
82.6,20.943735,102.0,45.0,82.6,120.111115,27.618208,155.0,59.0,120.11111111111111,-0.08031169325113297,252.71755981445312,91782,196.8048403263092,,87
139.0,41.773197,196.0,78.0,139.0,149.75,42.478672,206.0,67.0,149.75,0.009153126738965511,253.77523803710938,92980,198.7353367805481,,88
122.75,21.45198,159.0,103.0,122.75,184.5,74.03096,309.0,68.0,184.5,-0.056952640414237976,371.5279541015625,94087,200.675457239151,,89
248.5,38.5,287.0,210.0,248.5,157.71428,43.351433,238.0,101.0,157.71428571428572,0.020359771326184273,180.0205841064453,95191,202.7419412136078,,90
214.0,89.0,303.0,125.0,214.0,164.71428,74.93752,290.0,39.0,164.71428571428572,0.019494030624628067,344.9195556640625,96344,204.93268752098083,,91
128.75,43.694252,183.0,61.0,128.75,282.25,56.015064,371.0,216.0,282.25,0.005380581598728895,320.9500427246094,97473,206.92820358276367,,92
161.33333,63.698944,244.0,89.0,161.33333333333334,177.25,105.928925,432.0,75.0,177.25,-0.012719067744910717,357.4299011230469,98891,209.22981190681458,,93
