Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
12.7215185,7.56564,34.0,4.0,12.721518987341772,9.3109865,5.174617,31.0,3.0,9.31098696461825,16.919137954711914,5000,9.686660051345825,9.3109865,0
17.946428,11.356904,61.0,5.0,17.946428571428573,11.834516,7.021483,50.0,3.0,11.83451536643026,22.331401824951172,10006,20.080847024917603,,1
25.075,14.281785,75.0,6.0,25.075,16.902357,10.043368,59.0,3.0,16.902356902356903,31.86045265197754,15026,27.87909436225891,,2
24.697674,12.045524,64.0,6.0,24.697674418604652,23.563381,15.412694,77.0,5.0,23.56338028169014,47.11377716064453,20045,35.83866906166077,,3
27.162163,13.459678,77.0,4.0,27.16216216216216,25.581633,14.262426,99.0,7.0,25.581632653061224,46.62410354614258,25059,43.82879972457886,,4
38.592594,18.573696,81.0,7.0,38.592592592592595,32.732025,16.206594,82.0,6.0,32.73202614379085,56.671966552734375,30067,51.601893186569214,,5
48.42857,19.989452,99.0,24.0,48.42857142857143,37.646618,18.499012,120.0,10.0,37.64661654135338,65.28145599365234,35074,59.89239192008972,,6
43.913044,12.257786,67.0,21.0,43.91304347826087,40.512,16.660667,95.0,12.0,40.512,64.74128723144531,40138,66.65274047851562,,7
50.55,23.048805,115.0,20.0,50.55,45.324326,22.524126,126.0,10.0,45.32432432432432,76.80673217773438,45169,73.79927492141724,,8
49.0,18.888142,79.0,15.0,49.0,49.69307,19.55178,123.0,11.0,49.693069306930695,79.73274993896484,50188,81.17983794212341,,9
46.454544,16.680765,89.0,13.0,46.45454545454545,50.50505,21.80463,139.0,12.0,50.505050505050505,82.7300796508789,55188,87.76747727394104,,10
57.0,27.043175,128.0,20.0,57.0,50.535355,17.976591,103.0,13.0,50.535353535353536,78.21366882324219,60191,93.9804847240448,,11
46.045456,19.580782,88.0,12.0,46.04545454545455,49.22549,17.297798,106.0,13.0,49.22549019607843,75.30956268310547,65212,100.54274034500122,,12
53.57895,23.890795,116.0,18.0,53.578947368421055,49.088234,20.58893,105.0,15.0,49.088235294117645,77.7740249633789,70219,107.65994381904602,,13
59.17647,18.906069,92.0,19.0,59.1764705882353,56.988636,20.871628,107.0,13.0,56.98863636363637,87.93449401855469,75234,115.43211698532104,,14
52.15,14.089978,79.0,29.0,52.15,51.408165,18.3291,139.0,15.0,51.40816326530612,79.29534149169922,80272,127.1281259059906,,15
63.3125,25.143883,135.0,35.0,63.3125,56.235954,19.441078,110.0,10.0,56.235955056179776,84.60527801513672,85277,134.54292917251587,,16
56.166668,22.966763,112.0,16.0,56.166666666666664,57.034092,21.553553,143.0,14.0,57.03409090909091,89.09781646728516,90296,142.21570110321045,,17
55.88889,25.601408,125.0,25.0,55.888888888888886,61.317074,25.250393,161.0,27.0,61.31707317073171,96.5786361694336,95324,148.96237587928772,,18
61.058823,27.868326,154.0,34.0,61.05882352941177,61.243904,21.119036,148.0,29.0,61.24390243902439,92.80946350097656,100346,156.54763674736023,,19
69.6875,23.05081,118.0,36.0,69.6875,63.873417,25.605263,184.0,30.0,63.87341772151899,99.46642303466797,105392,163.5936210155487,,20
