Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
36.9,10.903669,62.0,22.0,36.9,0,,,,,,,,
,,,,,15,16.0,16,,,,,,
,,,,,47,32.0,32,,,,,,
,,,,,68,21.0,21,,,,,,
,,,,,81,13.0,13,,,,,,
,,,,,94,13.0,13,,,,,,
,,,,,109,15.0,15,,,,,,
,,,,,136,27.0,27,,,,,,
,,,,,180,44.0,44,,,,,,
,,,,,197,17.0,17,,,,,,
,,,,,217,20.0,20,,,,,,
,,,,,249,32.0,32,,,,,,
,,,,,292,43.0,43,,,,,,
,,,,,319,27.0,27,,,,,,
,,,,,353,34.0,34,,,,,,
,,,,,371,18.0,18,,,,,,
,,,,,385,14.0,14,,,,,,
,,,,,396,11.0,11,,,,,,
,,,,,411,15.0,15,,,,,,
,,,,,453,42.0,42,,,,,,
,,,,,480,27.0,27,,,,,,
,,,,,498,18.0,18,,,,,,
,,,,,516,18.0,18,,,,,,
,,,,,527,11.0,11,,,,,,
,,,,,559,32.0,32,,,,,,
,,,,,591,32.0,32,,,,,,
,,,,,605,14.0,14,,,,,,
,,,,,619,14.0,14,,,,,,
,,,,,638,19.0,19,,,,,,
,,,,,650,12.0,12,,,,,,
,,,,,661,11.0,11,,,,,,
,,,,,695,34.0,34,,,,,,
,,,,,706,11.0,11,,,,,,
,,,,,719,13.0,13,,,,,,
,,,,,750,31.0,31,,,,,,
,,,,,774,24.0,24,,,,,,
,,,,,806,32.0,32,,,,,,
,,,,,817,11.0,11,,,,,,
,,,,,845,28.0,28,,,,,,
,,,,,869,24.0,24,,,,,,
,,,,,881,12.0,12,,,,,,
,,,,,895,14.0,14,,,,,,
,,,,,924,29.0,29,,,,,,
,,,,,940,16.0,16,,,,,,
,,,,,953,13.0,13,,,,,,
,,,,,977,24.0,24,,,,,,
,,,,,998,21.0,21,,,,,,
,,,,,1000,,,1.0845345258712769,0.07206977903842926,1.1080100536346436,2.802457809448242,0.97,0.0005
,,,,,1017,19.0,19,,,,,,
,,,,,1043,26.0,26,,,,,,
,,,,,1064,21.0,21,,,,,,
,,,,,1075,11.0,11,,,,,,
,,,,,1090,15.0,15,,,,,,
,,,,,1121,31.0,31,,,,,,
,,,,,1139,18.0,18,,,,,,
,,,,,1154,15.0,15,,,,,,
,,,,,1173,19.0,19,,,,,,
,,,,,1256,83.0,83,,,,,,
,,,,,1327,71.0,71,,,,,,
,,,,,1344,17.0,17,,,,,,
,,,,,1359,15.0,15,,,,,,
,,,,,1374,15.0,15,,,,,,
,,,,,1383,9.0,9,,,,,,
,,,,,1393,10.0,10,,,,,,
,,,,,1426,33.0,33,,,,,,
,,,,,1441,15.0,15,,,,,,
,,,,,1468,27.0,27,,,,,,
,,,,,1480,12.0,12,,,,,,
,,,,,1506,26.0,26,,,,,,
,,,,,1515,9.0,9,,,,,,
,,,,,1546,31.0,31,,,,,,
,,,,,1564,18.0,18,,,,,,
,,,,,1596,32.0,32,,,,,,
,,,,,1609,13.0,13,,,,,,
,,,,,1623,14.0,14,,,,,,
,,,,,1634,11.0,11,,,,,,
,,,,,1650,16.0,16,,,,,,
,,,,,1667,17.0,17,,,,,,
,,,,,1694,27.0,27,,,,,,
,,,,,1710,16.0,16,,,,,,
,,,,,1725,15.0,15,,,,,,
,,,,,1753,28.0,28,,,,,,
,,,,,1766,13.0,13,,,,,,
,,,,,1782,16.0,16,,,,,,
,,,,,1800,18.0,18,,,,,,
,,,,,1828,28.0,28,,,,,,
,,,,,1850,22.0,22,,,,,,
,,,,,1866,16.0,16,,,,,,
,,,,,1887,21.0,21,,,,,,
,,,,,1911,24.0,24,,,,,,
,,,,,1927,16.0,16,,,,,,
,,,,,1948,21.0,21,,,,,,
,,,,,1963,15.0,15,,,,,,
,,,,,1989,26.0,26,,,,,,
,,,,,2000,,,0.002830653451383114,1.1415090560913086,1.1389014720916748,0.02399590238928795,0.94,0.0005
,,,,,2002,13.0,13,,,,,,
,,,,,2013,11.0,11,,,,,,
,,,,,2039,26.0,26,,,,,,
,,,,,2057,18.0,18,,,,,,
,,,,,2107,50.0,50,,,,,,
,,,,,2132,25.0,25,,,,,,
,,,,,2145,13.0,13,,,,,,
,,,,,2164,19.0,19,,,,,,
,,,,,2184,20.0,20,,,,,,
,,,,,2194,10.0,10,,,,,,
,,,,,2203,9.0,9,,,,,,
,,,,,2224,21.0,21,,,,,,
,,,,,2243,19.0,19,,,,,,
,,,,,2263,20.0,20,,,,,,
,,,,,2284,21.0,21,,,,,,
,,,,,2296,12.0,12,,,,,,
,,,,,2328,32.0,32,,,,,,
,,,,,2363,35.0,35,,,,,,
,,,,,2376,13.0,13,,,,,,
,,,,,2387,11.0,11,,,,,,
,,,,,2399,12.0,12,,,,,,
,,,,,2413,14.0,14,,,,,,
,,,,,2437,24.0,24,,,,,,
,,,,,2453,16.0,16,,,,,,
,,,,,2491,38.0,38,,,,,,
133.9,7.2449985,146.0,123.0,133.9,2500,,,0.050809744745492935,2.101121425628662,2.095201015472412,0.2586170732975006,0.925,0.0005
,,,,,2507,16.0,16,,,,,,
,,,,,2525,18.0,18,,,,,,
,,,,,2557,32.0,32,,,,,,
,,,,,2571,14.0,14,,,,,,
,,,,,2605,34.0,34,,,,,,
,,,,,2625,20.0,20,,,,,,
,,,,,2646,21.0,21,,,,,,
,,,,,2658,12.0,12,,,,,,
,,,,,2671,13.0,13,,,,,,
,,,,,2684,13.0,13,,,,,,
,,,,,2694,10.0,10,,,,,,
,,,,,2706,12.0,12,,,,,,
,,,,,2723,17.0,17,,,,,,
,,,,,2739,16.0,16,,,,,,
,,,,,2751,12.0,12,,,,,,
,,,,,2763,12.0,12,,,,,,
,,,,,2778,15.0,15,,,,,,
