Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-237.47917,78.34183,-114.866104,-396.12286,1000.0,0,,,,,,,,,,,,
,,,,,999,-292.28296,1000,,,,,,,,,,
,,,,,1999,-234.03854,1000,,,,,,,,,,
,,,,,2999,-263.0292,1000,,,,,,,,,,
,,,,,3999,-336.1869,1000,,,,,,,,,,
,,,,,4999,-97.854256,1000,,,,,,,,,,
-246.79448,58.22907,-154.96872,-333.0451,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-296.9461,1000,,,,,,,,,,
,,,,,6999,-189.06369,1000,,,,,,,,,,
,,,,,7999,-229.3201,1000,,,,,,,,,,
,,,,,8999,-112.559715,1000,,,,,,,,,,
,,,,,9999,-266.47147,1000,,,,,,,,,,
-253.65718,97.51043,-120.05369,-446.1477,1000.0,10000,,,-0.3527047038078308,3.71504282951355,0.42418521642684937,-0.01148855872452259,0.11659431457519531,0.09999999403953552,0.9846311807632446,0.0003,0.0003,0.09999001026153564
,,,,,10999,-268.10892,1000,,,,,,,,,,
,,,,,11000,,,-2.2496769428253174,2.4260270595550537,0.4159572124481201,1.6440178155899048,1.6703424453735352,0.09074226021766663,0.7597905397415161,0.0003,0.0003,0.09073356539011002
,,,,,11999,-291.3025,1000,,,,,,,,,,
,,,,,12000,,,-3.4537477493286133,2.690652847290039,0.7927086353302002,2.97025203704834,2.8790173530578613,0.08235970139503479,0.7244259119033813,0.0003,0.0003,0.08235188573598862
,,,,,12999,-250.4968,1000,,,,,,,,,,
,,,,,13000,,,-4.680665493011475,1.45455002784729,0.8915420770645142,3.9242100715637207,3.899646282196045,0.07538899779319763,0.5728882551193237,0.0003,0.0003,0.07538257539272308
,,,,,13999,-255.77722,1000,,,,,,,,,,
,,,,,14000,,,-7.18628454208374,1.008897304534912,0.7200296521186829,6.358048439025879,6.383538246154785,0.06935156881809235,0.48234641551971436,0.0003,0.0003,0.06934570521116257
,,,,,14999,-201.56721,1000,,,,,,,,,,
-144.6063,27.868889,-77.7205,-179.57643,1000.0,15000,,,-9.894838333129883,0.7742533683776855,0.7225377559661865,9.021207809448242,9.082603454589844,0.06376297771930695,0.42745453119277954,0.0003,0.0003,0.06375753879547119
,,,,,15999,-101.61844,1000,,,,,,,,,,
,,,,,16000,,,-11.867552757263184,0.3537535071372986,0.593658447265625,11.088315963745117,10.999996185302734,0.058552373200654984,0.3482675552368164,0.0003,0.0003,0.05854744464159012
,,,,,16999,125.358215,1000,,,,,,,,,,
,,,,,17000,,,-14.117392539978027,0.22155052423477173,0.41862669587135315,13.32318115234375,13.257999420166016,0.053780753165483475,0.3233080506324768,0.0003,0.0003,0.05377629026770592
,,,,,17999,-35.21814,1000,,,,,,,,,,
,,,,,18000,,,-15.480902671813965,-0.6199851036071777,0.4048363268375397,14.672591209411621,14.67531967163086,0.04945846274495125,0.26634228229522705,0.0003,0.0003,0.04945444315671921
,,,,,18999,261.71982,1000,,,,,,,,,,
,,,,,19000,,,-18.444000244140625,-0.7119500637054443,0.5444298982620239,17.611812591552734,17.599435806274414,0.04547099769115448,0.24573352932929993,0.0003,0.0003,0.04546716809272766
,,,,,19999,669.7203,1000,,,,,,,,,,
584.0364,316.98367,1018.357,85.26369,1000.0,20000,,,-17.978403091430664,-1.383903980255127,0.5006027221679688,17.18781280517578,17.254295349121094,0.04185253754258156,0.20294299721717834,0.0003,0.0003,0.04184908792376518
,,,,,20999,1195.05,1000,,,,,,,,,,
,,,,,21000,,,-25.634292602539062,-1.5758085250854492,0.5768713355064392,24.79802894592285,24.871788024902344,0.03857508674263954,0.1657378375530243,0.0003,0.0003,0.038571957498788834
,,,,,21999,802.7433,1000,,,,,,,,,,
,,,,,22000,,,-26.534276962280273,-1.91463303565979,0.659531831741333,25.729894638061523,25.70806312561035,0.03561725094914436,0.1452070027589798,0.0003,0.0003,0.03561439737677574
,,,,,22999,1555.608,1000,,,,,,,,,,
,,,,,23000,,,-30.269481658935547,-3.333343029022217,0.4853530824184418,29.280269622802734,29.23638153076172,0.03294741362333298,0.08647017180919647,0.0003,0.0003,0.032944969832897186
,,,,,23999,1748.09,1000,,,,,,,,,,
,,,,,24000,,,-35.82051467895508,-3.5201187133789062,0.6051122546195984,34.88808059692383,34.914459228515625,0.03062378242611885,0.06779786944389343,0.0003,0.0003,0.03062162920832634
,,,,,24999,1897.9657,1000,,,,,,,,,,
1970.0826,51.643097,2051.1284,1868.6692,1000.0,25000,,,-43.410282135009766,-4.081238746643066,0.5621836185455322,42.26214599609375,42.21281433105469,0.02859966829419136,0.05989465117454529,0.0003,0.0003,0.028597697615623474
,,,,,25999,1978.3936,1000,,,,,,,,,,
,,,,,26000,,,-46.29554748535156,-4.843844413757324,0.7689551115036011,45.12300109863281,45.144290924072266,0.026914916932582855,0.03422333300113678,0.0003,0.0003,0.02691340260207653
,,,,,26999,2131.0476,1000,,,,,,,,,,
,,,,,27000,,,-49.90626907348633,-5.2899394035339355,0.8911058902740479,48.756988525390625,48.83365249633789,0.02561694011092186,0.01278402004390955,0.0003,0.0003,0.02561599388718605
,,,,,27999,2212.4946,1000,,,,,,,,,,
,,,,,28000,,,-55.30033493041992,-6.274796962738037,0.8791437745094299,54.0628662109375,54.28300094604492,0.02509007416665554,-0.003176920348778367,0.0003,0.0003,0.02509019337594509
,,,,,28999,2256.602,1000,,,,,,,,,,
,,,,,29000,,,-62.290985107421875,-6.525321960449219,0.787411093711853,60.93083953857422,60.91340637207031,0.025490544736385345,-0.008768973872065544,0.0003,0.0003,0.025491906329989433
,,,,,29999,2376.271,1000,,,,,,,,,,
2455.896,39.75123,2534.6995,2390.671,1000.0,30000,,,-72.23794555664062,-6.863441467285156,0.8832702040672302,70.6988525390625,70.80656433105469,0.02723246067762375,-0.029030222445726395,0.0003,0.0003,0.02723527140915394
,,,,,30999,2480.8218,1000,,,,,,,,,,
,,,,,31000,,,-79.47962951660156,-6.351221084594727,1.0391957759857178,78.11048889160156,78.12113952636719,0.030375376343727112,-0.010579697787761688,0.0003,0.0003,0.030378540977835655
,,,,,31999,2452.5193,1000,,,,,,,,,,
,,,,,32000,,,-87.9827880859375,-6.740752220153809,1.1432015895843506,86.2057113647461,86.14559936523438,0.03421027213335037,-0.02698262222111225,0.0003,0.0003,0.03421398997306824
,,,,,32999,2502.3572,1000,,,,,,,,,,
,,,,,33000,,,-97.77572631835938,-5.951951503753662,1.0878520011901855,96.17704772949219,96.24404907226562,0.03713070973753929,-0.0005828158464282751,0.0003,0.0003,0.037132080644369125
,,,,,33999,2519.953,1000,,,,,,,,,,
,,,,,34000,,,-103.54374694824219,-5.826425075531006,0.6990438103675842,102.14965057373047,102.0819091796875,0.03726053982973099,0.00639416603371501,0.0003,0.0003,0.03726021200418472
,,,,,34999,2527.869,1000,,,,,,,,,,
2569.893,64.88778,2656.879,2481.9683,1000.0,35000,,,-109.85696411132812,-6.380557060241699,0.848220705986023,108.32667541503906,108.45658874511719,0.03618268668651581,-0.016663772985339165,0.0003,0.0003,0.03618103265762329
,,,,,35999,2556.5322,1000,,,,,,,,,,
,,,,,36000,,,-115.38737487792969,-6.297161102294922,0.6455963253974915,113.898681640625,113.907958984375,0.03497203066945076,-0.010031646117568016,0.0003,0.0003,0.03497154638171196
,,,,,36999,2607.191,1000,,,,,,,,,,
,,,,,37000,,,-123.61096954345703,-5.73634147644043,0.6000174880027771,122.16896057128906,122.39837646484375,0.034154925495386124,0.004013362806290388,0.0003,0.0003,0.03415435552597046
,,,,,37999,2715.2417,1000,,,,,,,,,,
,,,,,38000,,,-127.95428466796875,-5.626040458679199,0.6954581141471863,126.65367126464844,126.71556091308594,0.033475685864686966,0.0012996536679565907,0.0003,0.0003,0.03347615525126457
,,,,,38999,2736.7603,1000,,,,,,,,,,
,,,,,39000,,,-137.01339721679688,-5.170157432556152,0.5925412178039551,135.57196044921875,135.53114318847656,0.03381746634840965,0.014877056702971458,0.0003,0.0003,0.033816859126091
,,,,,39999,2839.4333,1000,,,,,,,,,,
