Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-239.40976,55.754967,-149.833,-343.5703,1000.0,0,,,,,,,,,,
,,,,,999,-316.83716,1000,,,,,,,,
,,,,,1999,-206.55858,1000,,,,,,,,
,,,,,2999,-296.18143,1000,,,,,,,,
,,,,,3999,-261.76245,1000,,,,,,,,
,,,,,4999,-250.25482,1000,,,,,,,,
-217.38669,60.70321,-127.10864,-323.21436,1000.0,5000,,,,,,,,,,
,,,,,5999,-200.88057,1000,,,,,,,,
,,,,,6999,-235.99734,1000,,,,,,,,
,,,,,7999,-224.74414,1000,,,,,,,,
,,,,,8999,-189.22704,1000,,,,,,,,
,,,,,9999,-203.71423,1000,,,,,,,,
-243.24252,75.54473,-129.61545,-380.8928,1000.0,10000,,,-0.36045557260513306,3.670367956161499,0.35654890537261963,-0.005884162150323391,0.0916895717382431,0.0003,0.0003,0.1
,,,,,10999,-226.13322,1000,,,,,,,,
,,,,,11000,,,-2.469007968902588,2.360610008239746,0.42213669419288635,1.7170538902282715,1.6932151317596436,0.0003,0.0003,0.1
,,,,,11999,-193.22893,1000,,,,,,,,
,,,,,12000,,,-3.90281343460083,3.2032861709594727,0.6631568670272827,3.3893585205078125,3.428377628326416,0.0003,0.0003,0.1
,,,,,12999,-201.58324,1000,,,,,,,,
,,,,,13000,,,-5.129456043243408,2.6236627101898193,0.7889901995658875,4.553703308105469,4.737602233886719,0.0003,0.0003,0.1
,,,,,13999,-208.1836,1000,,,,,,,,
,,,,,14000,,,-7.217329502105713,2.0862905979156494,0.7015558481216431,6.464834213256836,6.471489429473877,0.0003,0.0003,0.1
,,,,,14999,-210.07562,1000,,,,,,,,
-168.92886,27.148521,-138.60506,-220.34653,1000.0,15000,,,-9.58654499053955,1.9978508949279785,0.7722287178039551,8.730377197265625,8.785896301269531,0.0003,0.0003,0.1
,,,,,15999,-47.140205,1000,,,,,,,,
,,,,,16000,,,-11.532291412353516,2.1819448471069336,0.509427011013031,10.652688980102539,10.757057189941406,0.0003,0.0003,0.1
,,,,,16999,-122.99754,1000,,,,,,,,
,,,,,17000,,,-14.050942420959473,1.940489649772644,0.5498540997505188,13.27012825012207,13.25069808959961,0.0003,0.0003,0.1
,,,,,17999,-21.460186,1000,,,,,,,,
,,,,,18000,,,-15.364070892333984,2.2893881797790527,0.39795857667922974,14.631665229797363,14.589896202087402,0.0003,0.0003,0.1
,,,,,18999,-77.03908,1000,,,,,,,,
,,,,,19000,,,-17.665067672729492,1.8745596408843994,0.46930697560310364,16.66857147216797,16.802942276000977,0.0003,0.0003,0.1
,,,,,19999,293.03418,1000,,,,,,,,
84.605515,73.61639,248.91382,27.62201,1000.0,20000,,,-18.400548934936523,1.8013780117034912,0.38153284788131714,17.707555770874023,17.676956176757812,0.0003,0.0003,0.1
,,,,,20999,145.8622,1000,,,,,,,,
,,,,,21000,,,-21.5902156829834,1.5891153812408447,0.4673061668872833,20.886232376098633,20.919897079467773,0.0003,0.0003,0.1
,,,,,21999,392.96408,1000,,,,,,,,
,,,,,22000,,,-22.569669723510742,1.7135508060455322,0.3582550287246704,21.71993637084961,21.744441986083984,0.0003,0.0003,0.1
,,,,,22999,283.17133,1000,,,,,,,,
,,,,,23000,,,-24.275270462036133,1.6311836242675781,0.47549211978912354,23.45067596435547,23.46300506591797,0.0003,0.0003,0.1
,,,,,23999,359.49518,1000,,,,,,,,
,,,,,24000,,,-24.645549774169922,1.5033385753631592,0.406047523021698,23.934656143188477,24.002216339111328,0.0003,0.0003,0.1
,,,,,24999,574.40717,1000,,,,,,,,
667.18506,162.82327,900.76245,452.22708,1000.0,25000,,,-28.24251365661621,1.120287537574768,0.439109742641449,27.54825210571289,27.446563720703125,0.0003,0.0003,0.1
,,,,,25999,551.4565,1000,,,,,,,,
,,,,,26000,,,-29.688709259033203,1.0410385131835938,0.4936387836933136,28.924701690673828,28.856599807739258,0.0003,0.0003,0.1
,,,,,26999,829.0694,1000,,,,,,,,
,,,,,27000,,,-32.629615783691406,0.8767178058624268,0.4340771436691284,31.91827964782715,31.954875946044922,0.0003,0.0003,0.1
,,,,,27999,983.9769,1000,,,,,,,,
,,,,,28000,,,-33.989627838134766,0.7974129915237427,0.5371474027633667,33.04345703125,33.28316116333008,0.0003,0.0003,0.1
,,,,,28999,896.95715,1000,,,,,,,,
,,,,,29000,,,-39.07854080200195,0.7919778823852539,0.4227718114852905,38.177207946777344,38.34022521972656,0.0003,0.0003,0.1
,,,,,29999,1056.944,1000,,,,,,,,
982.1966,203.6686,1216.1763,590.9984,1000.0,30000,,,-42.762081146240234,0.6602826118469238,0.3271161913871765,42.02442932128906,41.92494201660156,0.0003,0.0003,0.1
,,,,,30999,1158.633,1000,,,,,,,,
,,,,,31000,,,-47.88709259033203,0.4671444892883301,0.4479968547821045,46.96796417236328,46.90885925292969,0.0003,0.0003,0.1
,,,,,31999,1277.4343,1000,,,,,,,,
,,,,,32000,,,-50.597599029541016,0.30444255471229553,0.3736448585987091,49.43711853027344,49.53889846801758,0.0003,0.0003,0.1
,,,,,32999,1391.6981,1000,,,,,,,,
,,,,,33000,,,-51.66033935546875,0.5067397356033325,0.45757395029067993,50.725364685058594,50.80150604248047,0.0003,0.0003,0.1
,,,,,33999,1431.1039,1000,,,,,,,,
,,,,,34000,,,-55.65860366821289,0.30267924070358276,0.5135949850082397,54.79753494262695,54.86231994628906,0.0003,0.0003,0.1
,,,,,34999,659.356,1000,,,,,,,,
1574.5283,324.17664,1783.219,698.53186,1000.0,35000,,,-58.51536560058594,0.027753159403800964,0.5837076306343079,57.64027404785156,57.53136444091797,0.0003,0.0003,0.1
,,,,,35999,896.1962,1000,,,,,,,,
,,,,,36000,,,-61.250389099121094,0.2824398875236511,0.4152408838272095,60.40815353393555,60.488670349121094,0.0003,0.0003,0.1
,,,,,36999,1848.4834,1000,,,,,,,,
,,,,,37000,,,-65.41899871826172,0.18018247187137604,0.5368338227272034,64.54331970214844,64.55105590820312,0.0003,0.0003,0.1
,,,,,37999,1895.2731,1000,,,,,,,,
,,,,,38000,,,-69.96000671386719,0.018307745456695557,0.560489296913147,68.89200592041016,68.74563598632812,0.0003,0.0003,0.1
,,,,,38999,1939.9004,1000,,,,,,,,
,,,,,39000,,,-76.39350891113281,0.038683146238327026,0.6108967065811157,75.24655151367188,75.2778549194336,0.0003,0.0003,0.1
,,,,,39999,1994.8038,1000,,,,,,,,
1714.301,322.56964,2016.3481,1056.5997,1000.0,40000,,,-76.47278594970703,-0.3563117980957031,0.49442872405052185,75.43354797363281,75.54615783691406,0.0003,0.0003,0.1
,,,,,40999,2061.7944,1000,,,,,,,,
,,,,,41000,,,-79.77095031738281,-0.2285810112953186,0.46678662300109863,78.8882827758789,78.83012390136719,0.0003,0.0003,0.1
,,,,,41999,2131.438,1000,,,,,,,,
,,,,,42000,,,-84.20697784423828,-0.2365151345729828,0.5334956049919128,83.2568130493164,83.24211120605469,0.0003,0.0003,0.1
,,,,,42999,2232.2432,1000,,,,,,,,
,,,,,43000,,,-86.61827850341797,-0.6841181516647339,0.43029293417930603,85.50755310058594,85.66837310791016,0.0003,0.0003,0.1
,,,,,43999,2143.9578,1000,,,,,,,,
,,,,,44000,,,-92.44325256347656,-0.7778958082199097,0.6683988571166992,91.3082275390625,91.34683227539062,0.0003,0.0003,0.1
,,,,,44999,2321.694,1000,,,,,,,,
2298.148,164.05383,2414.2532,1816.2914,1000.0,45000,,,-98.34610748291016,-0.5743807554244995,0.5979199409484863,97.25563049316406,97.05853271484375,0.0003,0.0003,0.1
,,,,,45999,2110.0344,1000,,,,,,,,
,,,,,46000,,,-102.63519287109375,-0.48741379380226135,0.6018586754798889,101.6009521484375,101.62242126464844,0.0003,0.0003,0.1
,,,,,46999,2378.1104,1000,,,,,,,,
,,,,,47000,,,-108.81533813476562,-0.5176464319229126,0.6472275257110596,107.88169860839844,107.72647857666016,0.0003,0.0003,0.1
,,,,,47999,2354.699,1000,,,,,,,,
,,,,,48000,,,-113.1941146850586,-0.7739667892456055,0.6600939035415649,112.07189178466797,111.96739959716797,0.0003,0.0003,0.1
,,,,,48999,2332.684,1000,,,,,,,,
,,,,,49000,,,-116.9071044921875,-1.072113037109375,0.6929203867912292,115.75567626953125,115.86598205566406,0.0003,0.0003,0.1
,,,,,49999,2401.4673,1000,,,,,,,,
2190.1821,559.4167,2504.3147,667.66534,1000.0,50000,,,-117.06826782226562,-1.1399739980697632,0.5385980606079102,115.86273193359375,115.8600082397461,0.0003,0.0003,0.1
,,,,,50999,2485.0378,1000,,,,,,,,
,,,,,51000,,,-124.56224822998047,-1.2077722549438477,0.6050034761428833,123.46786499023438,123.36796569824219,0.0003,0.0003,0.1
,,,,,51999,2453.679,1000,,,,,,,,
,,,,,52000,,,-127.29647064208984,-0.8470181822776794,0.5794817209243774,126.19868469238281,126.34397888183594,0.0003,0.0003,0.1
,,,,,52999,2413.2136,1000,,,,,,,,
,,,,,53000,,,-135.36647033691406,-0.9211499691009521,0.6092383861541748,134.25225830078125,134.23193359375,0.0003,0.0003,0.1
,,,,,53999,2582.7327,1000,,,,,,,,
,,,,,54000,,,-136.26963806152344,-0.8787559866905212,0.5261247158050537,135.15771484375,135.2317352294922,0.0003,0.0003,0.1
,,,,,54999,2531.8503,1000,,,,,,,,
2567.144,31.859848,2625.1047,2524.9958,1000.0,55000,,,-140.29315185546875,-0.8467550277709961,0.6050640344619751,139.04397583007812,139.047607421875,0.0003,0.0003,0.1
,,,,,55999,2610.1023,1000,,,,,,,,
,,,,,56000,,,-138.81224060058594,-0.9786223769187927,0.5533590316772461,137.7693634033203,137.81124877929688,0.0003,0.0003,0.1
,,,,,56999,2683.4954,1000,,,,,,,,
,,,,,57000,,,-147.2298126220703,-1.0279662609100342,0.49478328227996826,146.13616943359375,146.11643981933594,0.0003,0.0003,0.1
,,,,,57999,2634.684,1000,,,,,,,,
,,,,,58000,,,-152.86061096191406,-1.1842613220214844,0.5645739436149597,151.67852783203125,151.6177978515625,0.0003,0.0003,0.1
,,,,,58999,2682.717,1000,,,,,,,,
,,,,,59000,,,-156.5443572998047,-0.8022938966751099,0.6226048469543457,155.63075256347656,155.611328125,0.0003,0.0003,0.1
,,,,,59999,2755.3293,1000,,,,,,,,
2741.2107,36.16167,2817.5393,2694.0278,1000.0,60000,,,-159.69802856445312,-1.3888847827911377,0.5375596880912781,158.77084350585938,158.81842041015625,0.0003,0.0003,0.1
,,,,,60999,2770.9705,1000,,,,,,,,
,,,,,61000,,,-154.10609436035156,-1.364696741104126,0.4818342328071594,152.97152709960938,152.93975830078125,0.0003,0.0003,0.1
,,,,,61999,2742.4768,1000,,,,,,,,
,,,,,62000,,,-161.19740295410156,-1.2847702503204346,0.4888777732849121,160.19601440429688,160.105224609375,0.0003,0.0003,0.1
,,,,,62999,2823.2356,1000,,,,,,,,
,,,,,63000,,,-172.05674743652344,-1.4029847383499146,0.5064588785171509,171.01370239257812,170.93040466308594,0.0003,0.0003,0.1
,,,,,63999,2877.6719,1000,,,,,,,,
,,,,,64000,,,-166.2750244140625,-1.388574481010437,0.5300430059432983,165.20213317871094,165.24102783203125,0.0003,0.0003,0.1
,,,,,64999,2814.6099,1000,,,,,,,,
2854.4243,39.33192,2914.4624,2772.1956,1000.0,65000,,,-172.45993041992188,-1.3037238121032715,0.5143378376960754,171.34359741210938,171.25650024414062,0.0003,0.0003,0.1
,,,,,65999,2925.8914,1000,,,,,,,,
,,,,,66000,,,-179.7265625,-1.2721693515777588,0.658155083656311,178.51806640625,178.528076171875,0.0003,0.0003,0.1
,,,,,66999,2940.7024,1000,,,,,,,,
,,,,,67000,,,-184.37501525878906,-1.3028488159179688,0.6480245590209961,183.3752899169922,183.312255859375,0.0003,0.0003,0.1
,,,,,67999,2988.077,1000,,,,,,,,
,,,,,68000,,,-181.33433532714844,-1.8461347818374634,0.5367428064346313,179.98690795898438,179.99404907226562,0.0003,0.0003,0.1
,,,,,68999,3064.9883,1000,,,,,,,,
,,,,,69000,,,-193.8187255859375,-1.5439107418060303,0.6362539529800415,192.568359375,192.63258361816406,0.0003,0.0003,0.1
,,,,,69999,3121.91,1000,,,,,,,,
2639.8464,675.8155,3159.6116,1215.739,1000.0,70000,,,-193.1226043701172,-1.8546723127365112,0.5826164484024048,192.16058349609375,192.2109375,0.0003,0.0003,0.1
,,,,,70999,3135.919,1000,,,,,,,,
,,,,,71000,,,-192.86639404296875,-1.522475004196167,0.5924060344696045,191.97634887695312,191.9373321533203,0.0003,0.0003,0.1
,,,,,71999,3173.257,1000,,,,,,,,
,,,,,72000,,,-200.29197692871094,-1.8143506050109863,0.5624975562095642,199.2774200439453,199.21412658691406,0.0003,0.0003,0.1
,,,,,72999,3308.1936,1000,,,,,,,,
,,,,,73000,,,-206.54754638671875,-1.9579854011535645,0.6181457042694092,205.5410919189453,205.48947143554688,0.0003,0.0003,0.1
,,,,,73999,3256.4346,1000,,,,,,,,
,,,,,74000,,,-204.40679931640625,-1.9323688745498657,0.5843585729598999,203.2120361328125,203.2848663330078,0.0003,0.0003,0.1
,,,,,74999,3268.815,1000,,,,,,,,
3245.0593,100.79109,3320.3708,2958.8613,1000.0,75000,,,-212.1436309814453,-2.085580825805664,0.7779737114906311,211.06851196289062,210.9127197265625,0.0003,0.0003,0.1
,,,,,75999,3322.8984,1000,,,,,,,,
,,,,,76000,,,-205.34254455566406,-1.93865168094635,0.6083522439002991,204.0647430419922,204.14471435546875,0.0003,0.0003,0.1
,,,,,76999,3447.8508,1000,,,,,,,,
,,,,,77000,,,-220.09413146972656,-2.0139591693878174,0.7710835933685303,218.93463134765625,218.98495483398438,0.0003,0.0003,0.1
,,,,,77999,3440.7268,1000,,,,,,,,
,,,,,78000,,,-217.7729949951172,-2.5315518379211426,0.8658928275108337,216.4060821533203,216.4510498046875,0.0003,0.0003,0.1
,,,,,78999,3353.0222,1000,,,,,,,,
,,,,,79000,,,-219.47772216796875,-2.391958236694336,1.063615083694458,218.13214111328125,218.234619140625,0.0003,0.0003,0.1
,,,,,79999,3500.173,1000,,,,,,,,
3476.3079,88.234924,3566.9983,3311.1494,1000.0,80000,,,-222.13209533691406,-1.787959098815918,0.7291771173477173,220.7905731201172,220.8018035888672,0.0003,0.0003,0.1
,,,,,80999,3579.6,1000,,,,,,,,
,,,,,81000,,,-232.10421752929688,-2.872591972351074,0.842403769493103,230.77992248535156,230.78424072265625,0.0003,0.0003,0.1
,,,,,81999,3383.6804,1000,,,,,,,,
,,,,,82000,,,-230.81687927246094,-2.8370065689086914,0.8516433238983154,229.40716552734375,229.50497436523438,0.0003,0.0003,0.1
,,,,,82999,2237.1616,1000,,,,,,,,
,,,,,83000,,,-233.40325927734375,-2.424917459487915,1.3159003257751465,232.18878173828125,232.1539306640625,0.0003,0.0003,0.1
,,,,,83999,3540.0542,1000,,,,,,,,
,,,,,84000,,,-238.36228942871094,-2.580336570739746,0.9666455388069153,237.15625,237.0302734375,0.0003,0.0003,0.1
,,,,,84999,566.85315,1000,,,,,,,,
3545.733,154.55498,3654.3838,3121.1284,1000.0,85000,,,-238.86158752441406,-2.4241890907287598,1.057982087135315,237.82855224609375,237.89540100097656,0.0003,0.0003,0.1
,,,,,85999,3564.4143,1000,,,,,,,,
,,,,,86000,,,-241.6121368408203,-2.5258257389068604,1.3251962661743164,240.48477172851562,240.3612823486328,0.0003,0.0003,0.1
