Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
17.987206,7.168685,31.535498,7.2725863,20.8,0,,,,,,,,,,
,,,,,14,11.491849,15,,,,,,,,
,,,,,24,7.1988754,10,,,,,,,,
,,,,,46,11.626192,22,,,,,,,,
,,,,,62,14.577492,16,,,,,,,,
,,,,,80,18.07454,18,,,,,,,,
,,,,,92,10.009101,12,,,,,,,,
,,,,,113,21.749271,21,,,,,,,,
,,,,,123,7.7883887,10,,,,,,,,
,,,,,153,29.314293,30,,,,,,,,
,,,,,191,47.09376,38,,,,,,,,
,,,,,209,16.786266,18,,,,,,,,
,,,,,230,16.59204,21,,,,,,,,
,,,,,249,20.307821,19,,,,,,,,
,,,,,259,7.6536474,10,,,,,,,,
,,,,,294,40.383915,35,,,,,,,,
,,,,,359,80.66327,65,,,,,,,,
,,,,,385,16.140457,26,,,,,,,,
,,,,,407,10.811483,22,,,,,,,,
,,,,,436,20.819157,29,,,,,,,,
,,,,,456,20.244247,20,,,,,,,,
,,,,,471,11.076569,15,,,,,,,,
,,,,,484,11.206283,13,,,,,,,,
,,,,,504,21.373926,20,,,,,,,,
,,,,,523,12.509674,19,,,,,,,,
,,,,,535,10.199774,12,,,,,,,,
,,,,,575,25.178488,40,,,,,,,,
,,,,,591,10.04043,16,,,,,,,,
,,,,,603,9.103278,12,,,,,,,,
,,,,,624,17.897442,21,,,,,,,,
,,,,,637,11.4718275,13,,,,,,,,
,,,,,670,45.20795,33,,,,,,,,
,,,,,684,11.753243,14,,,,,,,,
,,,,,696,9.619049,12,,,,,,,,
,,,,,710,11.26135,14,,,,,,,,
,,,,,728,16.351109,18,,,,,,,,
,,,,,757,29.950836,29,,,,,,,,
,,,,,797,33.224632,40,,,,,,,,
,,,,,813,6.5367823,16,,,,,,,,
,,,,,833,26.028982,20,,,,,,,,
,,,,,848,8.5047455,15,,,,,,,,
,,,,,862,12.600756,14,,,,,,,,
,,,,,885,17.474499,23,,,,,,,,
,,,,,918,11.774691,33,,,,,,,,
,,,,,931,7.283264,13,,,,,,,,
,,,,,947,14.867783,16,,,,,,,,
,,,,,958,10.02228,11,,,,,,,,
,,,,,971,11.709156,13,,,,,,,,
,,,,,993,11.085789,22,,,,,,,,
,,,,,1012,10.209943,19,,,,,,,,
,,,,,1026,9.594041,14,,,,,,,,
,,,,,1043,11.078128,17,,,,,,,,
,,,,,1090,27.083897,47,,,,,,,,
,,,,,1110,13.481753,20,,,,,,,,
,,,,,1143,13.602625,33,,,,,,,,
,,,,,1157,13.755455,14,,,,,,,,
,,,,,1173,7.083331,16,,,,,,,,
,,,,,1185,9.028712,12,,,,,,,,
,,,,,1196,8.592116,11,,,,,,,,
,,,,,1264,59.22512,68,,,,,,,,
,,,,,1279,12.816317,15,,,,,,,,
,,,,,1311,19.900282,32,,,,,,,,
,,,,,1324,6.6428595,13,,,,,,,,
,,,,,1358,29.12724,34,,,,,,,,
,,,,,1371,10.06325,13,,,,,,,,
,,,,,1385,8.745231,14,,,,,,,,
,,,,,1455,98.35184,70,,,,,,,,
,,,,,1476,14.945816,21,,,,,,,,
,,,,,1500,12.509627,24,,,,,,,,
,,,,,1518,11.506349,18,,,,,,,,
,,,,,1535,16.502863,17,,,,,,,,
,,,,,1554,13.337799,19,,,,,,,,
,,,,,1567,11.492811,13,,,,,,,,
,,,,,1594,30.741083,27,,,,,,,,
,,,,,1630,44.271225,36,,,,,,,,
,,,,,1646,12.154976,16,,,,,,,,
,,,,,1660,7.221888,14,,,,,,,,
,,,,,1678,12.856285,18,,,,,,,,
,,,,,1714,46.849846,36,,,,,,,,
,,,,,1729,10.110617,15,,,,,,,,
,,,,,1756,8.136859,27,,,,,,,,
,,,,,1784,16.168385,28,,,,,,,,
,,,,,1815,23.213951,31,,,,,,,,
,,,,,1851,20.549479,36,,,,,,,,
,,,,,1869,13.769576,18,,,,,,,,
,,,,,1894,20.858852,25,,,,,,,,
,,,,,1928,42.59218,34,,,,,,,,
,,,,,1939,9.166564,11,,,,,,,,
,,,,,1964,16.718616,25,,,,,,,,
,,,,,1978,13.381289,14,,,,,,,,
,,,,,1990,9.005863,12,,,,,,,,
,,,,,2008,10.7168455,18,,,,,,,,
,,,,,2039,17.033602,31,,,,,,,,
,,,,,2061,7.769618,22,,,,,,,,
,,,,,2081,6.314479,20,,,,,,,,
,,,,,2092,7.5755663,11,,,,,,,,
,,,,,2107,10.542903,15,,,,,,,,
,,,,,2126,15.2559,19,,,,,,,,
,,,,,2140,11.130588,14,,,,,,,,
,,,,,2160,15.690288,20,,,,,,,,
,,,,,2185,16.66335,25,,,,,,,,
,,,,,2204,11.035399,19,,,,,,,,
,,,,,2224,18.432905,20,,,,,,,,
,,,,,2235,7.9890366,11,,,,,,,,
,,,,,2273,45.887203,38,,,,,,,,
,,,,,2303,24.754898,30,,,,,,,,
,,,,,2323,16.923536,20,,,,,,,,
,,,,,2337,8.691553,14,,,,,,,,
,,,,,2372,31.437588,35,,,,,,,,
,,,,,2390,18.084198,18,,,,,,,,
,,,,,2429,23.305449,39,,,,,,,,
,,,,,2441,7.715551,12,,,,,,,,
,,,,,2475,26.742744,34,,,,,,,,
