Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
18.850178,6.199993,32.10627,8.361109,20.4,0,,,,,,,,,,
,,,,,12,10.676634,13,,,,,,,,
,,,,,25,8.737147,13,,,,,,,,
,,,,,35,5.094857,10,,,,,,,,
,,,,,50,8.823722,15,,,,,,,,
,,,,,69,10.166763,19,,,,,,,,
,,,,,84,12.217065,15,,,,,,,,
,,,,,107,15.190402,23,,,,,,,,
,,,,,129,20.57975,22,,,,,,,,
,,,,,174,30.979301,45,,,,,,,,
,,,,,192,17.567804,18,,,,,,,,
,,,,,218,24.228529,26,,,,,,,,
,,,,,234,9.690192,16,,,,,,,,
,,,,,289,81.845406,55,,,,,,,,
,,,,,348,68.019844,59,,,,,,,,
,,,,,369,15.950692,21,,,,,,,,
,,,,,380,8.189601,11,,,,,,,,
,,,,,393,10.049679,13,,,,,,,,
,,,,,403,7.3536286,10,,,,,,,,
,,,,,426,17.588629,23,,,,,,,,
,,,,,455,30.706627,29,,,,,,,,
,,,,,530,71.149345,75,,,,,,,,
,,,,,542,7.656707,12,,,,,,,,
,,,,,557,13.595372,15,,,,,,,,
,,,,,569,9.390793,12,,,,,,,,
,,,,,589,21.651464,20,,,,,,,,
,,,,,632,35.576103,43,,,,,,,,
,,,,,648,15.325067,16,,,,,,,,
,,,,,668,18.347963,20,,,,,,,,
,,,,,686,19.6136,18,,,,,,,,
,,,,,703,9.73485,17,,,,,,,,
,,,,,727,12.934363,24,,,,,,,,
,,,,,747,23.43893,20,,,,,,,,
,,,,,766,8.452308,19,,,,,,,,
,,,,,778,9.611319,12,,,,,,,,
,,,,,801,11.68899,23,,,,,,,,
,,,,,825,16.03508,24,,,,,,,,
,,,,,840,12.752824,15,,,,,,,,
,,,,,861,17.359045,21,,,,,,,,
,,,,,888,16.338213,27,,,,,,,,
,,,,,912,10.543724,24,,,,,,,,
,,,,,945,19.098553,33,,,,,,,,
,,,,,965,12.860842,20,,,,,,,,
,,,,,978,8.723425,13,,,,,,,,
,,,,,1005,14.88156,27,,,,,,,,
,,,,,1022,13.814435,17,,,,,,,,
,,,,,1036,8.919999,14,,,,,,,,
,,,,,1061,13.44036,25,,,,,,,,
,,,,,1083,8.498413,22,,,,,,,,
,,,,,1092,6.2042665,9,,,,,,,,
,,,,,1131,50.447308,39,,,,,,,,
,,,,,1158,28.021278,27,,,,,,,,
,,,,,1176,15.9864,18,,,,,,,,
