Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-754.5163,255.14352,-516.5478,-1405.895,96.5,0,,,,,,,,
,,,,,102,-123.158005,103,,,,,,
,,,,,197,-157.59695,95,,,,,,
,,,,,301,-187.94945,104,,,,,,
,,,,,374,-97.174805,73,,,,,,
,,,,,488,-49.05458,114,,,,,,
,,,,,618,-57.64817,130,,,,,,
,,,,,712,-188.62979,94,,,,,,
,,,,,830,-434.08105,118,,,,,,
,,,,,901,-172.25539,71,,,,,,
,,,,,985,-201.16982,84,,,,,,
,,,,,1096,-83.85729,111,,,,,,
,,,,,1212,-144.41426,116,,,,,,
,,,,,1303,-123.43625,91,,,,,,
,,,,,1396,-172.83383,93,,,,,,
,,,,,1485,-5.05793,89,,,,,,
,,,,,1564,-113.95595,79,,,,,,
,,,,,1644,-306.3899,80,,,,,,
,,,,,1742,-286.73972,98,,,,,,
,,,,,1842,-352.64554,100,,,,,,
,,,,,1964,-93.82941,122,,,,,,
,,,,,2031,-86.90941,67,,,,,,
,,,,,2138,-145.07986,107,,,,,,
,,,,,2253,-120.9741,115,,,,,,
,,,,,2326,-154.86588,73,,,,,,
,,,,,2467,-152.41531,141,,,,,,
,,,,,2546,-129.76154,79,,,,,,
,,,,,2612,-58.941917,66,,,,,,
,,,,,2704,-516.48303,92,,,,,,
,,,,,2805,-366.30856,101,,,,,,
,,,,,2879,-160.54726,74,,,,,,
,,,,,2978,-452.3441,99,,,,,,
,,,,,3044,-137.09561,66,,,,,,
,,,,,3167,-120.64487,123,,,,,,
,,,,,3266,-143.55638,99,,,,,,
,,,,,3341,-134.11511,75,,,,,,
,,,,,3445,-283.9123,104,,,,,,
,,,,,3544,-374.13818,99,,,,,,
,,,,,3615,-308.3677,71,,,,,,
,,,,,3708,-465.2885,93,,,,,,
,,,,,3811,-248.1082,103,,,,,,
,,,,,3878,-81.79985,67,,,,,,
,,,,,3970,-83.35626,92,,,,,,
,,,,,4059,-419.49692,89,,,,,,
,,,,,4206,-299.84268,147,,,,,,
,,,,,4302,-135.4976,96,,,,,,
,,,,,4414,-332.11694,112,,,,,,
,,,,,4529,-136.86314,115,,,,,,
,,,,,4607,-196.93718,78,,,,,,
,,,,,4721,-139.16576,114,,,,,,
,,,,,4854,-60.660427,133,,,,,,
,,,,,4921,-79.88024,67,,,,,,
,,,,,5024,-358.14764,103,,,,,,
,,,,,5145,-86.66846,121,,,,,,
,,,,,5203,-181.30757,58,,,,,,
,,,,,5316,-346.76685,113,,,,,,
,,,,,5408,-253.52963,92,,,,,,
,,,,,5521,-469.5387,113,,,,,,
,,,,,5600,-107.11345,79,,,,,,
,,,,,5682,-79.31947,82,,,,,,
,,,,,5767,-287.8809,85,,,,,,
,,,,,5846,-103.05162,79,,,,,,
,,,,,5978,-70.55452,132,,,,,,
,,,,,6073,-147.0917,95,,,,,,
,,,,,6142,-92.37166,69,,,,,,
,,,,,6245,-128.10292,103,,,,,,
,,,,,6315,-74.34006,70,,,,,,
,,,,,6393,-138.09622,78,,,,,,
,,,,,6490,-475.4639,97,,,,,,
,,,,,6579,-458.28284,89,,,,,,
,,,,,6703,-470.8985,124,,,,,,
,,,,,6791,-100.78963,88,,,,,,
,,,,,6894,-429.33197,103,,,,,,
,,,,,6990,-85.148575,96,,,,,,
,,,,,7103,-396.72842,113,,,,,,
,,,,,7237,-94.09207,134,,,,,,
,,,,,7320,-204.84058,83,,,,,,
,,,,,7403,-297.8158,83,,,,,,
,,,,,7493,-206.20285,90,,,,,,
,,,,,7619,-132.75854,126,,,,,,
,,,,,7718,-176.10031,99,,,,,,
,,,,,7854,-69.51412,136,,,,,,
,,,,,7925,-86.27438,71,,,,,,
,,,,,7998,-332.7855,73,,,,,,
,,,,,8136,-203.41943,138,,,,,,
,,,,,8271,-220.15083,135,,,,,,
,,,,,8349,-370.26453,78,,,,,,
,,,,,8439,-118.172714,90,,,,,,
,,,,,8540,-324.8313,101,,,,,,
,,,,,8618,-199.57448,78,,,,,,
,,,,,8709,-334.30554,91,,,,,,
,,,,,8791,-93.45198,82,,,,,,
,,,,,8876,-314.05222,85,,,,,,
,,,,,8944,-138.66646,68,,,,,,
,,,,,9018,-116.728455,74,,,,,,
,,,,,9143,-112.40947,125,,,,,,
