Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-774.99084,243.14948,-464.71512,-1343.1221,96.1,0,,,,,,,,
,,,,,89,-188.59578,90,,,,,,
,,,,,198,-242.41074,109,,,,,,
,,,,,263,-69.39269,65,,,,,,
,,,,,322,-147.38062,59,,,,,,
,,,,,395,-210.48712,73,,,,,,
,,,,,481,-264.24384,86,,,,,,
,,,,,550,-76.122826,69,,,,,,
,,,,,702,-182.43292,152,,,,,,
,,,,,843,-35.643463,141,,,,,,
,,,,,896,-120.23306,53,,,,,,
,,,,,958,-87.73152,62,,,,,,
,,,,,1053,26.09896,95,,,,,,
,,,,,1147,-403.67642,94,,,,,,
,,,,,1269,-141.18227,122,,,,,,
,,,,,1355,-196.59097,86,,,,,,
,,,,,1478,-312.49847,123,,,,,,
,,,,,1585,-160.17773,107,,,,,,
,,,,,1653,-126.69433,68,,,,,,
,,,,,1734,-157.85155,81,,,,,,
,,,,,1817,-153.69463,83,,,,,,
,,,,,1922,-102.83818,105,,,,,,
,,,,,2022,-367.89703,100,,,,,,
,,,,,2100,-256.0132,78,,,,,,
,,,,,2185,-610.99005,85,,,,,,
,,,,,2277,-106.8515,92,,,,,,
,,,,,2375,-296.29333,98,,,,,,
,,,,,2448,-86.729744,73,,,,,,
,,,,,2547,-366.27667,99,,,,,,
,,,,,2643,-104.41696,96,,,,,,
,,,,,2758,-246.69518,115,,,,,,
,,,,,2860,-297.6108,102,,,,,,
,,,,,2942,-111.428024,82,,,,,,
,,,,,3042,-307.36758,100,,,,,,
,,,,,3170,-115.32735,128,,,,,,
,,,,,3272,-184.11295,102,,,,,,
,,,,,3341,-319.85632,69,,,,,,
,,,,,3414,-42.506756,73,,,,,,
,,,,,3502,-450.11145,88,,,,,,
,,,,,3592,-181.76196,90,,,,,,
,,,,,3695,-286.3352,103,,,,,,
,,,,,3755,-54.44112,60,,,,,,
,,,,,3852,-259.9071,97,,,,,,
,,,,,3973,-89.40146,121,,,,,,
,,,,,4072,-387.6489,99,,,,,,
,,,,,4178,-322.69562,106,,,,,,
,,,,,4335,-237.14941,157,,,,,,
,,,,,4387,-97.54619,52,,,,,,
,,,,,4494,-133.9018,107,,,,,,
,,,,,4618,-158.06906,124,,,,,,
,,,,,4766,-153.85405,148,,,,,,
,,,,,4858,-178.34244,92,,,,,,
